week,type,n_agents,spoke_rate,mismatch_rate,mean_exposure_own,mean_climate_own,mean_feed_slots
2026-W12,education,15,0.4,0.4,1.1333333333333333,0.11333333333333334,10.0
2026-W12,marketing,26,1.0,0.19230769230769232,7.653846153846154,0.7653846153846153,10.0
2026-W12,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W12,mourning,21,0.0,0.0,0.0,0.0,10.0
2026-W12,other,20,0.0,0.0,0.0,0.0,10.0
2026-W13,education,15,0.6666666666666666,0.6666666666666666,1.8,0.18000000000000002,10.0
2026-W13,marketing,26,0.8846153846153846,0.8076923076923077,6.038461538461538,0.6038461538461538,10.0
2026-W13,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W13,mourning,21,0.8095238095238095,0.0,3.142857142857143,0.3142857142857143,10.0
2026-W13,other,20,0.25,0.25,0.9,0.09,10.0
2026-W14,education,15,0.8,0.8,2.1333333333333333,0.21333333333333335,10.0
2026-W14,marketing,26,0.8846153846153846,0.6153846153846154,5.1923076923076925,0.5192307692307693,10.0
2026-W14,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W14,mourning,21,0.38095238095238093,0.0,2.1904761904761907,0.21904761904761907,10.0
2026-W14,other,20,0.3,0.3,1.3,0.13,10.0
2026-W15,education,15,0.7333333333333333,0.7333333333333333,2.6,0.26,10.0
2026-W15,marketing,26,0.8076923076923077,0.46153846153846156,4.115384615384615,0.4115384615384615,10.0
2026-W15,meme,18,0.0,0.0,0.16666666666666666,0.01666666666666667,10.0
2026-W15,mourning,21,0.5714285714285714,0.0,2.9047619047619047,0.2904761904761905,10.0
2026-W15,other,20,0.4,0.4,1.9,0.19,10.0
2026-W16,education,15,0.8,0.8,2.2666666666666666,0.22666666666666666,10.0
2026-W16,marketing,26,0.8846153846153846,0.5,4.576923076923077,0.45769230769230773,10.0
2026-W16,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W16,mourning,21,0.38095238095238093,0.0,2.380952380952381,0.23809523809523808,10.0
2026-W16,other,20,0.3,0.3,1.65,0.165,10.0
2026-W17,education,15,0.8,0.8,2.8,0.28,10.0
2026-W17,marketing,26,0.7307692307692307,0.4230769230769231,4.8076923076923075,0.4807692307692308,10.0
2026-W17,meme,18,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.011111111111111112,10.0
2026-W17,mourning,21,0.14285714285714285,0.0,1.7142857142857142,0.17142857142857143,10.0
2026-W17,other,20,0.25,0.25,1.65,0.165,10.0
2026-W18,education,15,0.8,0.8,2.6666666666666665,0.26666666666666666,10.0
2026-W18,marketing,26,0.9615384615384616,0.38461538461538464,4.769230769230769,0.47692307692307695,10.0
2026-W18,meme,18,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.011111111111111112,10.0
2026-W18,mourning,21,0.09523809523809523,0.0,1.3333333333333333,0.13333333333333336,10.0
2026-W18,other,20,0.3,0.25,2.0,0.2,10.0
2026-W19,education,15,0.8666666666666667,0.8666666666666667,3.066666666666667,0.3066666666666667,10.0
2026-W19,marketing,26,0.8076923076923077,0.46153846153846156,5.3076923076923075,0.5307692307692308,10.0
2026-W19,meme,18,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.022222222222222223,10.0
2026-W19,mourning,21,0.0,0.0,0.6666666666666666,0.06666666666666668,10.0
2026-W19,other,20,0.3,0.3,1.7,0.16999999999999998,10.0
2026-W20,education,15,0.9333333333333333,0.9333333333333333,3.0,0.3,10.0
2026-W20,marketing,26,0.8076923076923077,0.2692307692307692,5.5,0.5499999999999999,10.0
2026-W20,meme,18,0.6111111111111112,0.5,1.3333333333333333,0.13333333333333333,10.0
2026-W20,mourning,21,0.0,0.0,0.5238095238095238,0.05238095238095238,10.0
2026-W20,other,20,0.15,0.15,1.25,0.125,10.0
2026-W21,education,15,0.5333333333333333,0.5333333333333333,2.0,0.2,10.0
2026-W21,marketing,26,0.7307692307692307,0.3076923076923077,4.961538461538462,0.49615384615384617,10.0
2026-W21,meme,18,1.0,0.9444444444444444,3.888888888888889,0.3888888888888889,10.0
2026-W21,mourning,21,0.0,0.0,0.14285714285714285,0.014285714285714287,10.0
2026-W21,other,20,0.1,0.1,1.0,0.1,10.0
2026-W22,education,15,0.6,0.6,2.4,0.24000000000000002,10.0
2026-W22,marketing,26,0.6153846153846154,0.19230769230769232,3.923076923076923,0.3923076923076923,10.0
2026-W22,meme,18,1.0,0.6111111111111112,5.777777777777778,0.5777777777777778,10.0
2026-W22,mourning,21,0.0,0.0,0.19047619047619047,0.01904761904761905,10.0
2026-W22,other,20,0.05,0.05,0.6,0.06,10.0
