week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,127,759,0,114,0.0,0.0,0.127,0.759,0.0,0.114
2026-W13,1000,0,244,136,494,87,39,0.0,0.244,0.136,0.494,0.087,0.039
2026-W14,1000,7,204,184,463,109,33,0.007,0.204,0.184,0.463,0.109,0.033
2026-W15,1000,9,257,193,350,163,28,0.009,0.257,0.193,0.35,0.163,0.028
2026-W16,1000,17,184,214,377,169,39,0.017,0.184,0.214,0.377,0.169,0.039
2026-W17,1000,15,154,223,420,149,39,0.015,0.154,0.223,0.42,0.149,0.039
2026-W18,1000,10,121,235,417,168,49,0.01,0.121,0.235,0.417,0.168,0.049
2026-W19,1000,20,72,268,465,136,39,0.02,0.072,0.268,0.465,0.136,0.039
2026-W20,1000,99,42,243,459,110,47,0.099,0.042,0.243,0.459,0.11,0.047
2026-W21,1000,233,22,216,414,81,34,0.233,0.022,0.216,0.414,0.081,0.034
2026-W22,1000,429,23,167,308,40,33,0.429,0.023,0.167,0.308,0.04,0.033
