week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,112,779,0,109,0.0,0.0,0.112,0.779,0.0,0.109
2026-W13,1000,0,543,74,233,124,26,0.0,0.543,0.074,0.233,0.124,0.026
2026-W14,1000,5,268,183,394,120,30,0.005,0.268,0.183,0.394,0.12,0.03
2026-W15,1000,14,340,195,278,147,26,0.014,0.34,0.195,0.278,0.147,0.026
2026-W16,1000,21,193,240,333,168,45,0.021,0.193,0.24,0.333,0.168,0.045
2026-W17,1000,25,127,222,340,229,57,0.025,0.127,0.222,0.34,0.229,0.057
2026-W18,1000,40,116,187,344,246,67,0.04,0.116,0.187,0.344,0.246,0.067
2026-W19,1000,29,84,207,407,204,69,0.029,0.084,0.207,0.407,0.204,0.069
2026-W20,1000,141,60,171,391,141,96,0.141,0.06,0.171,0.391,0.141,0.096
2026-W21,1000,442,46,112,275,56,69,0.442,0.046,0.112,0.275,0.056,0.069
2026-W22,1000,589,42,80,209,29,51,0.589,0.042,0.08,0.209,0.029,0.051
