week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,45,28,17,0,0.0,0.0,0.24444444444444444,0.7111111111111111,0.0,0.044444444444444446
2026-W13,80,63,11394,2.4599,0.1972,0.485,77,42,35,1,0.0,0.4805194805194805,0.12987012987012986,0.23376623376623376,0.12987012987012986,0.025974025974025976
2026-W14,152,72,8678,3.0242,0.2511,0.7594,64,34,30,0,0.015625,0.234375,0.234375,0.296875,0.1875,0.03125
2026-W15,210,58,5050,3.2533,0.3958,1.2877,46,22,24,0,0.021739130434782608,0.15217391304347827,0.2826086956521739,0.30434782608695654,0.1956521739130435,0.043478260869565216
2026-W16,254,44,3756,3.3691,0.4982,1.6785,42,20,22,0,0.07142857142857142,0.11904761904761904,0.16666666666666666,0.35714285714285715,0.23809523809523808,0.047619047619047616
2026-W17,293,39,2416,3.4471,0.6805,2.3457,31,12,19,0,0.03225806451612903,0.06451612903225806,0.1935483870967742,0.3870967741935484,0.25806451612903225,0.06451612903225806
2026-W18,306,30,1703,3.4693,0.845,2.9316,26,8,18,0,0.0,0.11538461538461539,0.19230769230769232,0.38461538461538464,0.23076923076923078,0.07692307692307693
2026-W19,269,26,1792,3.4013,0.8203,2.79,25,7,18,0,0.08,0.04,0.24,0.44,0.12,0.08
2026-W20,224,27,2735,3.2941,0.626,2.062,36,16,20,0,0.5,0.027777777777777776,0.1111111111111111,0.25,0.027777777777777776,0.08333333333333333
2026-W21,205,39,4252,3.2376,0.4533,1.4675,46,23,23,0,0.6956521739130435,0.043478260869565216,0.06521739130434782,0.15217391304347827,0.021739130434782608,0.021739130434782608
2026-W22,208,47,5338,3.2471,0.3785,1.229,45,21,24,0,0.6888888888888889,0.044444444444444446,0.06666666666666667,0.15555555555555556,0.022222222222222223,0.022222222222222223
