week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,118,771,0,111,0.0,0.0,0.118,0.771,0.0,0.111
2026-W13,1000,0,193,167,494,93,53,0.0,0.193,0.167,0.494,0.093,0.053
2026-W14,1000,4,235,222,375,133,31,0.004,0.235,0.222,0.375,0.133,0.031
2026-W15,1000,8,222,241,344,137,48,0.008,0.222,0.241,0.344,0.137,0.048
2026-W16,1000,16,246,205,345,151,37,0.016,0.246,0.205,0.345,0.151,0.037
2026-W17,1000,6,187,214,363,191,39,0.006,0.187,0.214,0.363,0.191,0.039
2026-W18,1000,11,210,186,356,192,45,0.011,0.21,0.186,0.356,0.192,0.045
2026-W19,1000,12,188,216,371,171,42,0.012,0.188,0.216,0.371,0.171,0.042
2026-W20,1000,27,208,193,341,169,62,0.027,0.208,0.193,0.341,0.169,0.062
2026-W21,1000,74,166,212,343,153,52,0.074,0.166,0.212,0.343,0.153,0.052
2026-W22,1000,85,150,203,362,151,49,0.085,0.15,0.203,0.362,0.151,0.049
