week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,100,700,0,200,0.0,0.0,0.1,0.7,0.0,0.2
2026-W13,1000,0,500,200,200,0,100,0.0,0.5,0.2,0.2,0.0,0.1
2026-W14,1000,100,200,200,200,200,100,0.1,0.2,0.2,0.2,0.2,0.1
2026-W15,1000,100,200,200,200,200,100,0.1,0.2,0.2,0.2,0.2,0.1
2026-W16,1000,0,100,200,400,300,0,0.0,0.1,0.2,0.4,0.3,0.0
2026-W17,1000,0,100,200,400,200,100,0.0,0.1,0.2,0.4,0.2,0.1
2026-W18,1000,0,200,200,200,300,100,0.0,0.2,0.2,0.2,0.3,0.1
2026-W19,1000,100,0,300,200,200,200,0.1,0.0,0.3,0.2,0.2,0.2
2026-W20,1000,400,0,200,300,0,100,0.4,0.0,0.2,0.3,0.0,0.1
2026-W21,1000,400,0,100,300,100,100,0.4,0.0,0.1,0.3,0.1,0.1
2026-W22,1000,700,0,100,200,0,0,0.7,0.0,0.1,0.2,0.0,0.0
