week,type,n_decisions,n_speak,n_posted,mean_u,mean_threshold,mean_benefit,mean_env_gain,mean_env_multiplier
2026-W12,education,15,3,3,0.7815733333333333,0.9470133333333333,0.7815733333333333,1.0,
2026-W12,marketing,23,23,23,1.1931652173913043,0.9538391304347825,1.1931652173913043,1.0,
2026-W12,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,1.0,
2026-W12,mourning,22,0,0,0.26783636363636365,0.9641590909090909,0.26783636363636365,1.0,
2026-W12,other,21,0,0,-0.35062380952380956,0.9515476190476191,-0.35062380952380956,1.0,
2026-W13,education,15,3,3,0.7186133333333333,0.9470133333333333,0.7186133333333333,0.4801,
2026-W13,marketing,23,21,21,1.1032695652173914,0.9538391304347825,1.1032695652173914,0.4801,
2026-W13,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,0.4801,
2026-W13,mourning,22,22,22,1.7869,0.9641590909090909,1.7869,0.4801,
2026-W13,other,21,0,0,-0.12850952380952382,0.9515476190476191,-0.12850952380952382,0.4801,
2026-W14,education,15,5,5,0.8760333333333333,0.9470133333333333,0.8760333333333333,0.7619,
2026-W14,marketing,23,22,22,1.1259173913043479,0.9538391304347825,1.1259173913043479,0.7619,
2026-W14,meme,19,0,0,-0.01922631578947368,0.9668,-0.01922631578947368,0.7619,
2026-W14,mourning,22,6,6,0.6680772727272727,0.9641590909090909,0.6680772727272727,0.7619,
2026-W14,other,21,5,5,0.26094761904761904,0.9515476190476191,0.26094761904761904,0.7619,
2026-W15,education,15,5,5,0.8463666666666666,0.9470133333333333,0.8463666666666666,1.2948,
2026-W15,marketing,23,20,20,1.081713043478261,0.9538391304347825,1.081713043478261,1.2948,
2026-W15,meme,19,0,0,-0.05332631578947369,0.9668,-0.05332631578947369,1.2948,
2026-W15,mourning,22,3,3,0.73785,0.9641590909090909,0.73785,1.2948,
2026-W15,other,21,5,5,0.557152380952381,0.9515476190476191,0.557152380952381,1.2948,
2026-W16,education,15,11,11,1.0753533333333334,0.9470133333333333,1.0753533333333334,1.6966,
2026-W16,marketing,23,19,19,1.0946826086956523,0.9538391304347825,1.0946826086956523,1.6965999999999999,
2026-W16,meme,19,0,0,-0.04239473684210526,0.9668,-0.04239473684210526,1.6965999999999999,
2026-W16,mourning,22,0,0,0.38189999999999996,0.9641590909090909,0.38189999999999996,1.6966,
2026-W16,other,21,4,4,0.47171428571428575,0.9515476190476191,0.47171428571428575,1.6966000000000003,
2026-W17,education,15,9,9,1.0724133333333332,0.9470133333333333,1.0724133333333332,2.3801,
2026-W17,marketing,23,20,20,1.0706173913043477,0.9538391304347825,1.0706173913043477,2.3801,
2026-W17,meme,19,0,0,-0.05315263157894737,0.9668,-0.05315263157894737,2.3801,
2026-W17,mourning,22,0,0,0.18665454545454543,0.9641590909090909,0.18665454545454543,2.3801,
2026-W17,other,21,8,8,0.6564904761904762,0.9515476190476191,0.6564904761904762,2.3801,
2026-W18,education,15,11,11,1.0127333333333335,0.9470133333333333,1.0127333333333335,2.999,
2026-W18,marketing,23,19,19,1.0481826086956523,0.9538391304347825,1.0481826086956523,2.999,
2026-W18,meme,19,0,0,-0.07299473684210527,0.9668,-0.07299473684210527,2.999,
2026-W18,mourning,22,0,0,0.12036363636363637,0.9641590909090909,0.12036363636363637,2.9990000000000006,
2026-W18,other,21,4,4,0.4833190476190476,0.9515476190476191,0.4833190476190476,2.999,
2026-W19,education,15,7,7,0.9480400000000001,0.9470133333333333,0.9480400000000001,2.9019,
2026-W19,marketing,23,13,13,1.0069217391304348,0.9538391304347825,1.0069217391304348,2.9019000000000004,
2026-W19,meme,19,0,0,0.07318421052631578,0.9668,0.07318421052631578,2.9019,
2026-W19,mourning,22,0,0,0.1174,0.9641590909090909,0.1174,2.9019,
2026-W19,other,21,2,2,0.2735095238095238,0.9515476190476191,0.2735095238095238,2.9019,
2026-W20,education,15,4,4,0.8751466666666666,0.9470133333333333,0.8751466666666666,2.1846,
2026-W20,marketing,23,15,15,1.001608695652174,0.9538391304347825,1.001608695652174,2.1846,
2026-W20,meme,19,10,10,0.792921052631579,0.9668,0.792921052631579,2.1846,
2026-W20,mourning,22,0,0,0.11610454545454546,0.9641590909090909,0.11610454545454546,2.1846,
2026-W20,other,21,2,2,0.36013333333333336,0.9515476190476191,0.36013333333333336,2.1846,
2026-W21,education,15,2,2,0.64396,0.9470133333333333,0.64396,1.5761,
2026-W21,marketing,23,13,13,0.9697347826086956,0.9538391304347825,0.9697347826086956,1.5761,
2026-W21,meme,19,17,16,1.5525052631578946,0.9668,1.5525052631578946,1.5761,
2026-W21,mourning,22,0,0,0.13513636363636364,0.9641590909090909,0.13513636363636364,1.5761,
2026-W21,other,21,0,0,-0.02647619047619048,0.9515476190476191,-0.02647619047619048,1.5761,
2026-W22,education,15,0,0,0.4883866666666667,0.9470133333333333,0.4883866666666667,1.3162,
2026-W22,marketing,23,11,11,0.9272347826086956,0.9538391304347825,0.9272347826086956,1.3162,
2026-W22,meme,19,18,18,1.4808315789473685,0.9668,1.4808315789473685,1.3162,
2026-W22,mourning,22,0,0,0.11908636363636363,0.9641590909090909,0.11908636363636363,1.3162,
2026-W22,other,21,0,0,-0.13374761904761906,0.9515476190476191,-0.13374761904761906,1.3162,
