week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,43,26,17,0,0.0,0.0,0.11627906976744186,0.8372093023255814,0.0,0.046511627906976744
2026-W13,78,61,11394,2.4353,0.1972,0.4801,81,46,35,1,0.0,0.4567901234567901,0.08641975308641975,0.3333333333333333,0.09876543209876543,0.024691358024691357
2026-W14,154,76,8678,3.0343,0.2511,0.7619,68,38,30,0,0.014705882352941176,0.16176470588235295,0.16176470588235295,0.4411764705882353,0.19117647058823528,0.029411764705882353
2026-W15,216,62,5050,3.2713,0.3958,1.2948,57,33,24,0,0.017543859649122806,0.10526315789473684,0.19298245614035087,0.47368421052631576,0.17543859649122806,0.03508771929824561
2026-W16,271,55,3756,3.4054,0.4982,1.6966,56,34,22,0,0.017857142857142856,0.05357142857142857,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.03571428571428571
2026-W17,324,53,2416,3.4975,0.6805,2.3801,56,37,19,0,0.0,0.03571428571428571,0.23214285714285715,0.48214285714285715,0.21428571428571427,0.03571428571428571
2026-W18,362,55,1703,3.549,0.845,2.999,52,34,18,0,0.0,0.038461538461538464,0.2692307692307692,0.5,0.15384615384615385,0.038461538461538464
2026-W19,353,52,1792,3.5377,0.8203,2.9019,40,22,18,0,0.025,0.025,0.275,0.5,0.125,0.05
2026-W20,319,42,2735,3.4899,0.626,2.1846,51,31,20,0,0.3137254901960784,0.0196078431372549,0.13725490196078433,0.4117647058823529,0.058823529411764705,0.058823529411764705
2026-W21,311,54,4252,3.4774,0.4533,1.5761,54,31,23,0,0.5370370370370371,0.037037037037037035,0.07407407407407407,0.3148148148148148,0.018518518518518517,0.018518518518518517
2026-W22,311,55,5338,3.4774,0.3785,1.3162,53,29,24,0,0.6037735849056604,0.03773584905660377,0.03773584905660377,0.2830188679245283,0.018867924528301886,0.018867924528301886
