week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,47,30,17,0,0.0,0.0,0.19148936170212766,0.7659574468085106,0.0,0.0425531914893617
2026-W13,82,65,11394,2.4838,0.1972,0.4897,75,40,35,1,0.0,0.49333333333333335,0.09333333333333334,0.21333333333333335,0.17333333333333334,0.02666666666666667
2026-W14,152,70,8678,3.0242,0.2511,0.7594,68,38,30,0,0.014705882352941176,0.22058823529411764,0.16176470588235295,0.39705882352941174,0.17647058823529413,0.029411764705882353
2026-W15,214,62,5050,3.2654,0.3958,1.2925,61,37,24,0,0.01639344262295082,0.13114754098360656,0.2459016393442623,0.3770491803278688,0.19672131147540983,0.03278688524590164
2026-W16,273,59,3756,3.4094,0.4982,1.6986,47,25,22,0,0.02127659574468085,0.06382978723404255,0.3191489361702128,0.425531914893617,0.1276595744680851,0.0425531914893617
2026-W17,317,44,2416,3.4868,0.6805,2.3728,52,33,19,0,0.0,0.038461538461538464,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.038461538461538464
2026-W18,351,51,1703,3.5351,0.845,2.9873,49,31,18,0,0.0,0.04081632653061224,0.24489795918367346,0.5714285714285714,0.10204081632653061,0.04081632653061224
2026-W19,335,49,1792,3.5135,0.8203,2.882,47,29,18,0,0.02127659574468085,0.02127659574468085,0.2553191489361702,0.5531914893617021,0.10638297872340426,0.0425531914893617
2026-W20,314,49,2735,3.4822,0.626,2.1797,44,24,20,0,0.18181818181818182,0.022727272727272728,0.22727272727272727,0.4772727272727273,0.022727272727272728,0.06818181818181818
2026-W21,299,47,4252,3.4575,0.4533,1.5671,46,23,23,0,0.5217391304347826,0.043478260869565216,0.06521739130434782,0.32608695652173914,0.021739130434782608,0.021739130434782608
2026-W22,287,47,5338,3.4362,0.3785,1.3006,49,25,24,0,0.6326530612244898,0.04081632653061224,0.04081632653061224,0.24489795918367346,0.02040816326530612,0.02040816326530612
