week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,115,751,0,134,0.0,0.0,0.115,0.751,0.0,0.134
2026-W13,1000,0,642,73,225,43,17,0.0,0.642,0.073,0.225,0.043,0.017
2026-W14,1000,7,284,106,425,128,50,0.007,0.284,0.106,0.425,0.128,0.05
2026-W15,1000,14,309,132,348,154,43,0.014,0.309,0.132,0.348,0.154,0.043
2026-W16,1000,19,151,205,413,172,40,0.019,0.151,0.205,0.413,0.172,0.04
2026-W17,1000,18,91,250,410,191,40,0.018,0.091,0.25,0.41,0.191,0.04
2026-W18,1000,5,54,253,444,184,60,0.005,0.054,0.253,0.444,0.184,0.06
2026-W19,1000,7,36,245,464,191,57,0.007,0.036,0.245,0.464,0.191,0.057
2026-W20,1000,63,39,231,471,147,49,0.063,0.039,0.231,0.471,0.147,0.049
2026-W21,1000,177,27,185,439,114,58,0.177,0.027,0.185,0.439,0.114,0.058
2026-W22,1000,342,44,134,370,72,38,0.342,0.044,0.134,0.37,0.072,0.038
