week,type,n_decisions,n_speak,n_posted,mean_u,mean_threshold,mean_benefit,mean_env_gain,mean_env_multiplier
2026-W12,education,15,5,5,0.8942533333333333,0.9470133333333333,0.8942533333333333,1.0,
2026-W12,marketing,23,23,23,1.192908695652174,0.9538391304347825,1.192908695652174,1.0,
2026-W12,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,1.0,
2026-W12,mourning,22,0,0,0.26783636363636365,0.9641590909090909,0.26783636363636365,1.0,
2026-W12,other,21,0,0,-0.35062380952380956,0.9515476190476191,-0.35062380952380956,1.0,
2026-W13,education,15,0,0,0.6155333333333334,0.9470133333333333,0.6155333333333334,0.485,
2026-W13,marketing,23,12,12,0.9571739130434783,0.9538391304347825,0.9571739130434783,0.485,
2026-W13,meme,19,0,0,-0.07432631578947368,0.9668,-0.07432631578947368,0.485,
2026-W13,mourning,22,22,22,1.8031818181818182,0.9641590909090909,1.8031818181818182,0.485,
2026-W13,other,21,1,1,-0.01318095238095238,0.9515476190476191,-0.01318095238095238,0.48500000000000004,
2026-W14,education,15,3,3,0.7629866666666667,0.9470133333333333,0.7629866666666667,0.7502,
2026-W14,marketing,23,19,19,1.1071695652173914,0.9538391304347825,1.1071695652173914,0.7502,
2026-W14,meme,19,0,0,-0.05545789473684211,0.9668,-0.05545789473684211,0.7502,
2026-W14,mourning,22,5,5,0.6423590909090909,0.9641590909090909,0.6423590909090909,0.7502,
2026-W14,other,21,3,3,0.5058857142857143,0.9515476190476191,0.5058857142857143,0.7502,
2026-W15,education,15,9,9,1.01064,0.9470133333333333,1.01064,1.2737,
2026-W15,marketing,23,16,16,1.0554652173913044,0.9538391304347825,1.0554652173913044,1.2737,
2026-W15,meme,19,0,0,-0.03136842105263158,0.9668,-0.03136842105263158,1.2737,
2026-W15,mourning,22,3,3,0.7108136363636364,0.9641590909090909,0.7108136363636364,1.2737,
2026-W15,other,21,6,6,0.7017238095238095,0.9515476190476191,0.7017238095238095,1.2737,
2026-W16,education,15,8,8,0.9474466666666667,0.9470133333333333,0.9474466666666667,1.6796,
2026-W16,marketing,23,15,15,1.0573739130434783,0.9538391304347825,1.0573739130434783,1.6796,
2026-W16,meme,19,0,0,-0.022336842105263155,0.9668,-0.022336842105263155,1.6796,
2026-W16,mourning,22,0,0,0.2278409090909091,0.9641590909090909,0.2278409090909091,1.6796,
2026-W16,other,21,5,5,0.4997190476190476,0.9515476190476191,0.4997190476190476,1.6796,
2026-W17,education,15,9,9,0.9469666666666666,0.9470133333333333,0.9469666666666666,2.3563,
2026-W17,marketing,23,14,14,1.0098347826086955,0.9538391304347825,1.0098347826086955,2.3563,
2026-W17,meme,19,0,0,-0.021499999999999995,0.9668,-0.021499999999999995,2.3563,
2026-W17,mourning,22,0,0,0.18242727272727272,0.9641590909090909,0.18242727272727272,2.3563,
2026-W17,other,21,5,4,0.5518047619047619,0.9515476190476191,0.5518047619047619,2.3563,
2026-W18,education,15,8,8,0.9419133333333334,0.9470133333333333,0.9419133333333334,2.9629,
2026-W18,marketing,23,17,17,1.040595652173913,0.9538391304347825,1.040595652173913,2.9629,
2026-W18,meme,19,0,0,-0.07303157894736842,0.9668,-0.07303157894736842,2.9629,
2026-W18,mourning,22,0,0,0.11690909090909091,0.9641590909090909,0.11690909090909091,2.9628999999999994,
2026-W18,other,21,6,6,0.5126142857142858,0.9515476190476191,0.5126142857142858,2.9629,
2026-W19,education,15,9,9,0.9379866666666667,0.9470133333333333,0.9379866666666667,2.8589,
2026-W19,marketing,23,16,16,1.0369695652173914,0.9538391304347825,1.0369695652173914,2.8588999999999998,
2026-W19,meme,19,0,0,-0.05534210526315789,0.9668,-0.05534210526315789,2.8589,
2026-W19,mourning,22,0,0,0.10236363636363635,0.9641590909090909,0.10236363636363635,2.8589,
2026-W19,other,21,5,5,0.546247619047619,0.9515476190476191,0.546247619047619,2.8589,
2026-W20,education,15,5,5,0.7645266666666667,0.9470133333333333,0.7645266666666667,2.1664,
2026-W20,marketing,23,17,17,1.0223695652173912,0.9538391304347825,1.0223695652173912,2.1664,
2026-W20,meme,19,1,1,0.04338421052631578,0.9668,0.04338421052631578,2.1664,
2026-W20,mourning,22,0,0,0.08791363636363636,0.9641590909090909,0.08791363636363636,2.1664,
2026-W20,other,21,2,2,0.12456190476190476,0.9515476190476191,0.12456190476190476,2.1664,
2026-W21,education,15,3,3,0.7138866666666667,0.9470133333333333,0.7138866666666667,1.564,
2026-W21,marketing,23,12,12,0.9698,0.9538391304347825,0.9698,1.564,
2026-W21,meme,19,5,5,0.6179315789473684,0.9668,0.6179315789473684,1.564,
2026-W21,mourning,22,0,0,0.08769545454545455,0.9641590909090909,0.08769545454545455,1.564,
2026-W21,other,21,3,3,0.21463333333333331,0.9515476190476191,0.21463333333333331,1.564,
2026-W22,education,15,1,1,0.5886133333333333,0.9470133333333333,0.5886133333333333,1.2999,
2026-W22,marketing,23,9,9,0.937791304347826,0.9538391304347825,0.937791304347826,1.2999,
2026-W22,meme,19,14,14,1.426278947368421,0.9668,1.426278947368421,1.2999,
2026-W22,mourning,22,0,0,0.09782272727272727,0.9641590909090909,0.09782272727272727,1.2999,
2026-W22,other,21,0,0,0.053476190476190476,0.9515476190476191,0.053476190476190476,1.2999,
