week,type,n_agents,spoke_rate,mismatch_rate,mean_exposure_own,mean_climate_own,mean_feed_slots
2026-W12,education,15,0.26666666666666666,0.26666666666666666,1.0,0.1,10.0
2026-W12,marketing,26,1.0,0.11538461538461539,8.153846153846153,0.8153846153846155,10.0
2026-W12,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W12,mourning,21,0.0,0.0,0.0,0.0,10.0
2026-W12,other,20,0.0,0.0,0.0,0.0,10.0
2026-W13,education,15,1.0,1.0,5.0,0.5,10.0
2026-W13,marketing,26,1.0,0.9230769230769231,9.0,0.9000000000000001,10.0
2026-W13,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W13,mourning,21,1.0,0.0,7.0,0.7,10.0
2026-W13,other,20,0.6,0.6,2.25,0.225,10.0
2026-W14,education,15,1.0,1.0,9.0,0.9,10.0
2026-W14,marketing,26,1.0,0.5769230769230769,10.0,1.0,10.0
2026-W14,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W14,mourning,21,1.0,0.0,10.0,1.0,10.0
2026-W14,other,20,0.9,0.9,3.1,0.31,10.0
2026-W15,education,15,1.0,1.0,10.0,1.0,10.0
2026-W15,marketing,26,1.0,0.23076923076923078,10.0,1.0,10.0
2026-W15,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W15,mourning,21,1.0,0.0,10.0,1.0,10.0
2026-W15,other,20,0.55,0.55,2.15,0.215,10.0
2026-W16,education,15,1.0,1.0,10.0,1.0,10.0
2026-W16,marketing,26,1.0,0.19230769230769232,10.0,1.0,10.0
2026-W16,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W16,mourning,21,0.7619047619047619,0.0,10.0,1.0,10.0
2026-W16,other,20,0.2,0.2,1.7,0.16999999999999998,10.0
2026-W17,education,15,1.0,1.0,10.0,1.0,10.0
2026-W17,marketing,26,1.0,0.0,10.0,1.0,10.0
2026-W17,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W17,mourning,21,0.14285714285714285,0.0,10.0,1.0,10.0
2026-W17,other,20,0.2,0.2,1.7,0.17,10.0
2026-W18,education,15,1.0,1.0,10.0,1.0,10.0
2026-W18,marketing,26,1.0,0.0,10.0,1.0,10.0
2026-W18,meme,18,0.0,0.0,0.0,0.0,10.0
2026-W18,mourning,21,0.0,0.0,10.0,1.0,10.0
2026-W18,other,20,0.3,0.15,1.9,0.19,10.0
2026-W19,education,15,1.0,1.0,10.0,1.0,10.0
2026-W19,marketing,26,0.9615384615384616,0.11538461538461539,10.0,1.0,10.0
2026-W19,meme,18,1.0,1.0,1.0,0.1,10.0
2026-W19,mourning,21,0.0,0.0,10.0,1.0,10.0
2026-W19,other,20,0.1,0.05,1.75,0.175,10.0
2026-W20,education,15,1.0,1.0,10.0,1.0,10.0
2026-W20,marketing,26,1.0,0.07692307692307693,10.0,1.0,10.0
2026-W20,meme,18,1.0,0.9444444444444444,10.0,1.0,10.0
2026-W20,mourning,21,0.0,0.0,10.0,1.0,10.0
2026-W20,other,20,0.0,0.0,0.45,0.045,10.0
2026-W21,education,15,0.8666666666666667,0.8666666666666667,10.0,1.0,10.0
2026-W21,marketing,26,1.0,0.0,10.0,1.0,10.0
2026-W21,meme,18,1.0,0.8888888888888888,10.0,1.0,10.0
2026-W21,mourning,21,0.0,0.0,10.0,1.0,10.0
2026-W21,other,20,0.0,0.0,0.5,0.05,10.0
2026-W22,education,15,0.6666666666666666,0.6666666666666666,10.0,1.0,10.0
2026-W22,marketing,26,1.0,0.0,10.0,1.0,10.0
2026-W22,meme,18,0.9444444444444444,0.5555555555555556,10.0,1.0,10.0
2026-W22,mourning,21,0.0,0.0,10.0,1.0,10.0
2026-W22,other,20,0.0,0.0,0.55,0.05500000000000001,10.0
