week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,94,789,0,117,0.0,0.0,0.094,0.789,0.0,0.117
2026-W13,1000,0,359,129,348,101,63,0.0,0.359,0.129,0.348,0.101,0.063
2026-W14,1000,5,374,193,340,73,15,0.005,0.374,0.193,0.34,0.073,0.015
2026-W15,1000,7,400,195,316,61,21,0.007,0.4,0.195,0.316,0.061,0.021
2026-W16,1000,9,367,231,325,52,16,0.009,0.367,0.231,0.325,0.052,0.016
2026-W17,1000,0,346,247,332,52,23,0.0,0.346,0.247,0.332,0.052,0.023
2026-W18,1000,0,350,229,342,56,23,0.0,0.35,0.229,0.342,0.056,0.023
2026-W19,1000,26,332,221,348,53,20,0.026,0.332,0.221,0.348,0.053,0.02
2026-W20,1000,230,218,182,328,9,33,0.23,0.218,0.182,0.328,0.009,0.033
2026-W21,1000,280,233,164,304,10,9,0.28,0.233,0.164,0.304,0.01,0.009
2026-W22,1000,291,229,170,294,11,5,0.291,0.229,0.17,0.294,0.011,0.005
