week,type,n_decisions,n_speak,n_posted,mean_u,mean_threshold,mean_benefit,mean_env_gain,mean_env_multiplier
2026-W12,education,15,4,4,0.83214,0.9352533333333334,0.83214,1.0,1.0
2026-W12,marketing,26,26,26,1.414553846153846,0.9549576923076923,1.414553846153846,1.0,1.0
2026-W12,meme,18,0,0,0.05,0.9687888888888888,0.05,1.0,1.0
2026-W12,mourning,21,0,0,0.19161904761904763,0.9678761904761906,0.19161904761904763,1.0,1.0
2026-W12,other,20,0,0,0.05,0.9553800000000001,0.05,1.0,1.0
2026-W13,education,15,15,15,1.9791533333333333,0.9352533333333334,1.9791533333333333,0.4897,1.0
2026-W13,marketing,26,26,26,1.453353846153846,0.9549576923076923,1.453353846153846,0.4897,1.0
2026-W13,meme,18,0,0,0.02397222222222222,0.9687888888888888,0.05,0.4897,0.4794055555555556
2026-W13,mourning,21,21,21,2.0,0.9678761904761906,2.0,0.48969999999999997,1.0
2026-W13,other,20,12,12,1.172715,0.9553800000000001,1.172715,0.4897,1.0
2026-W14,education,15,15,15,1.9040533333333334,0.9352533333333334,1.9040533333333334,0.7965,1.0
2026-W14,marketing,26,26,26,1.4989923076923075,0.9549576923076923,1.4989923076923075,0.7965,1.0
2026-W14,meme,18,0,0,0.03952777777777778,0.9687888888888888,0.05,0.7965,0.7905333333333333
2026-W14,mourning,21,21,21,1.694742857142857,0.9678761904761906,1.694742857142857,0.7965000000000001,1.0
2026-W14,other,20,18,18,1.551155,0.9553800000000001,1.551155,0.7965,1.0
2026-W15,education,15,15,15,1.7687733333333333,0.9352533333333334,1.7687733333333333,1.3622,1.0
2026-W15,marketing,26,26,26,1.4687230769230768,0.9549576923076923,1.4687230769230768,1.3622,1.0
2026-W15,meme,18,0,0,0.06886666666666667,0.9687888888888888,0.05,1.3622,1.3776722222222224
2026-W15,mourning,21,21,21,1.3386238095238094,0.9678761904761906,1.3386238095238094,1.3622,1.0
2026-W15,other,20,11,11,1.070645,0.9553800000000001,1.070645,1.3622,1.0
2026-W16,education,15,15,15,1.6298199999999998,0.9352533333333334,1.6298199999999998,1.7815,1.0
2026-W16,marketing,26,26,26,1.4390576923076923,0.9549576923076923,1.4390576923076923,1.7815,1.0
2026-W16,meme,18,0,0,0.0910611111111111,0.9687888888888888,0.05,1.7815,1.8213222222222223
2026-W16,mourning,21,16,16,1.0581952380952382,0.9678761904761906,1.0581952380952382,1.7815,1.0
2026-W16,other,20,4,4,0.69777,0.9553800000000001,0.69777,1.7815,1.0
2026-W17,education,15,15,15,1.5018866666666668,0.9352533333333334,1.5018866666666668,2.4842,1.0
2026-W17,marketing,26,26,26,1.4100076923076925,0.9549576923076923,1.4100076923076925,2.4842000000000004,1.0
2026-W17,meme,18,0,0,0.12886666666666666,0.9687888888888888,0.05,2.4842,2.5772444444444442
2026-W17,mourning,21,3,3,0.8372095238095237,0.9678761904761906,0.8372095238095237,2.4842,1.0
2026-W17,other,20,4,4,0.690105,0.9553800000000001,0.690105,2.4842,1.0
2026-W18,education,15,15,15,1.3840933333333332,0.9352533333333334,1.3840933333333332,3.0,1.0
2026-W18,marketing,26,26,26,1.3815538461538461,0.9549576923076923,1.3815538461538461,3.0,1.0
2026-W18,meme,18,0,0,0.157,0.9687888888888888,0.05,3.0,3.1403055555555555
2026-W18,mourning,21,0,0,0.6629142857142858,0.9678761904761906,0.6629142857142858,3.0,1.0
2026-W18,other,20,6,6,0.724205,0.9553800000000001,0.724205,3.0,1.0
2026-W19,education,15,15,15,1.2756266666666667,0.9352533333333334,1.2756266666666667,3.0,1.0
2026-W19,marketing,26,26,25,1.3536692307692308,0.9549576923076923,1.3536692307692308,3.0,1.0
2026-W19,meme,18,18,18,1.4880888888888888,0.9687888888888888,0.4757888888888889,3.0,3.1403055555555555
2026-W19,mourning,21,0,0,0.5253190476190477,0.9678761904761906,0.5253190476190477,3.0,1.0
2026-W19,other,20,2,2,0.622595,0.9553800000000001,0.622595,3.0,1.0
2026-W20,education,15,15,15,1.1757333333333333,0.9352533333333334,1.1757333333333333,2.297,1.0
2026-W20,marketing,26,26,26,1.3263576923076923,0.9549576923076923,1.3263576923076923,2.297,1.0
2026-W20,meme,18,18,18,4.672133333333333,0.9687888888888888,1.9677166666666668,2.297,2.374527777777778
2026-W20,mourning,21,0,0,0.41660952380952376,0.9678761904761906,0.41660952380952376,2.297,1.0
2026-W20,other,20,0,0,0.10156000000000001,0.9553800000000001,0.10156000000000001,2.297,1.0
2026-W21,education,15,13,13,1.0837466666666666,0.9352533333333334,1.0837466666666666,1.6557,1.0
2026-W21,marketing,26,26,26,1.2995923076923077,0.9549576923076923,1.2995923076923077,1.6557,1.0
2026-W21,meme,18,18,18,2.8217166666666667,0.9687888888888888,1.6726277777777778,1.6557,1.6875666666666667
2026-W21,mourning,21,0,0,0.33065714285714287,0.9678761904761906,0.33065714285714287,1.6557,1.0
2026-W21,other,20,0,0,0.11696500000000001,0.9553800000000001,0.11696500000000001,1.6557,1.0
2026-W22,education,15,10,10,0.9990466666666666,0.9352533333333334,0.9990466666666666,1.3784,1.0
2026-W22,marketing,26,26,26,1.273376923076923,0.9549576923076923,1.273376923076923,1.3784,1.0
2026-W22,meme,18,18,17,1.9832,0.9687888888888888,1.4225444444444444,1.3784,1.3946999999999998
2026-W22,mourning,21,0,0,0.26263333333333333,0.9678761904761906,0.26263333333333333,1.3784,1.0
2026-W22,other,20,0,0,0.11865,0.9553800000000001,0.11865,1.3784,1.0
