week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,47,30,17,0,0.0,0.0,0.1276595744680851,0.8297872340425532,0.0,0.0425531914893617
2026-W13,82,65,11394,2.4838,0.1972,0.4897,109,74,35,1,0.0,0.3302752293577982,0.1743119266055046,0.29357798165137616,0.1834862385321101,0.01834862385321101
2026-W14,186,104,8678,3.172,0.2511,0.7965,110,80,30,0,0.00909090909090909,0.23636363636363636,0.19090909090909092,0.3090909090909091,0.23636363636363636,0.01818181818181818
2026-W15,290,104,5050,3.4417,0.3958,1.3622,97,73,24,0,0.010309278350515464,0.24742268041237114,0.21649484536082475,0.3402061855670103,0.16494845360824742,0.020618556701030927
2026-W16,385,95,3756,3.5759,0.4982,1.7815,83,61,22,0,0.012048192771084338,0.2289156626506024,0.24096385542168675,0.39759036144578314,0.0963855421686747,0.024096385542168676
2026-W17,465,80,2416,3.6506,0.6805,2.4842,67,48,19,0,0.0,0.07462686567164178,0.2835820895522388,0.4925373134328358,0.11940298507462686,0.029850746268656716
2026-W18,514,66,1703,3.6859,0.845,3.0,65,47,18,0,0.0,0.03076923076923077,0.27692307692307694,0.5076923076923077,0.15384615384615385,0.03076923076923077
2026-W19,514,65,1792,3.6859,0.8203,3.0,78,60,18,0,0.24358974358974358,0.01282051282051282,0.24358974358974358,0.41025641025641024,0.0641025641025641,0.02564102564102564
2026-W20,490,80,2735,3.6694,0.626,2.297,79,59,20,0,0.3037974683544304,0.012658227848101266,0.22784810126582278,0.4050632911392405,0.012658227848101266,0.0379746835443038
2026-W21,468,82,4252,3.6529,0.4533,1.6557,80,57,23,0,0.3875,0.025,0.1875,0.375,0.0125,0.0125
2026-W22,454,81,5338,3.6417,0.3785,1.3784,77,53,24,0,0.4025974025974026,0.025974025974025976,0.15584415584415584,0.38961038961038963,0.012987012987012988,0.012987012987012988
