arm,week,metric,n_seeds,mean,sd,min,max
random,2026-W12,meme_share,3,0.0,0.0,0.0,0.0
random,2026-W12,agent_supply,3,28.666666666666668,1.1547005383792515,28,30
random,2026-W12,total_supply,3,45.666666666666664,1.1547005383792515,45,47
random,2026-W12,meme_speaking_rate,3,0.0,0.0,0.0,0.0
random,2026-W12,meme_env_gain,3,1.0,0.0,1.0,1.0
random,2026-W13,meme_share,3,0.0,0.0,0.0,0.0
random,2026-W13,agent_supply,3,39.0,3.605551275463989,35,42
random,2026-W13,total_supply,3,74.0,3.605551275463989,70,77
random,2026-W13,meme_speaking_rate,3,0.0,0.0,0.0,0.0
random,2026-W13,meme_env_gain,3,0.48656666666666665,0.002713546265191263,0.485,0.4897
random,2026-W14,meme_share,3,0.015748521630874573,0.000986302637876802,0.014705882352941176,0.016666666666666666
random,2026-W14,agent_supply,3,33.666666666666664,4.041451884327381,30,38
random,2026-W14,total_supply,3,63.666666666666664,4.041451884327381,60,68
random,2026-W14,meme_speaking_rate,3,0.0,0.0,0.0,0.0
random,2026-W14,meme_env_gain,3,0.7563333333333334,0.005311622476544549,0.7502,0.7594
random,2026-W15,meme_share,3,0.02196429548314156,0.008924741443584013,0.01639344262295082,0.03225806451612903
random,2026-W15,agent_supply,3,36.333333333333336,2.0816659994661326,34,38
random,2026-W15,total_supply,3,60.333333333333336,2.0816659994661326,58,62
random,2026-W15,meme_speaking_rate,3,0.017543859649122806,0.030386856273138196,0.0,0.05263157894736842
random,2026-W15,meme_env_gain,3,1.2842,0.009591141746424106,1.2737,1.2925
random,2026-W16,meme_share,3,0.03070801779059983,0.01745294249891419,0.02,0.05084745762711865
random,2026-W16,agent_supply,3,30.0,6.244997998398398,25,37
random,2026-W16,total_supply,3,52.0,6.244997998398398,47,59
random,2026-W16,meme_speaking_rate,3,0.03508771929824561,0.06077371254627639,0.0,0.10526315789473684
random,2026-W16,meme_env_gain,3,1.6909,0.009998499887483156,1.6796,1.6986
random,2026-W17,meme_share,3,0.0,0.0,0.0,0.0
random,2026-W17,agent_supply,3,32.333333333333336,5.033222956847166,27,37
random,2026-W17,total_supply,3,51.333333333333336,5.033222956847166,46,56
random,2026-W17,meme_speaking_rate,3,0.0,0.0,0.0,0.0
random,2026-W17,meme_env_gain,3,2.3700666666666668,0.012623919095642679,2.3563,2.3811
random,2026-W18,meme_share,3,0.006410256410256411,0.011102889792108188,0.0,0.019230769230769232
random,2026-W18,agent_supply,3,32.0,1.7320508075688772,31,34
random,2026-W18,total_supply,3,50.0,1.7320508075688772,49,52
random,2026-W18,meme_speaking_rate,3,0.017543859649122806,0.030386856273138196,0.0,0.05263157894736842
random,2026-W18,meme_env_gain,3,2.9833999999999996,0.018854972818861396,2.9629,3.0
random,2026-W19,meme_share,3,0.02112884160756501,0.00025591767251313235,0.020833333333333332,0.02127659574468085
random,2026-W19,agent_supply,3,29.333333333333332,0.5773502691896257,29,30
random,2026-W19,total_supply,3,47.333333333333336,0.5773502691896257,47,48
random,2026-W19,meme_speaking_rate,3,0.0,0.0,0.0,0.0
random,2026-W19,meme_env_gain,3,2.8805666666666667,0.020986741846540286,2.8589,2.9008
random,2026-W20,meme_share,3,0.17594997594997594,0.01818487189668382,0.15555555555555556,0.19047619047619047
random,2026-W20,agent_supply,3,23.666666666666668,1.5275252316519468,22,25
random,2026-W20,total_supply,3,43.666666666666664,1.5275252316519468,42,45
random,2026-W20,meme_speaking_rate,3,0.08771929824561403,0.030386856273138196,0.05263157894736842,0.10526315789473684
random,2026-W20,meme_env_gain,3,2.1800333333333333,0.013803018993442495,2.1664,2.194
random,2026-W21,meme_share,3,0.43768115942028984,0.07292606159657461,0.391304347826087,0.5217391304347826
random,2026-W21,agent_supply,3,24.333333333333332,2.309401076758503,23,27
random,2026-W21,total_supply,3,47.333333333333336,2.309401076758503,46,50
random,2026-W21,meme_speaking_rate,3,0.40350877192982454,0.16079212964757336,0.2631578947368421,0.5789473684210527
random,2026-W21,meme_env_gain,3,1.5705,0.008712634503983288,1.564,1.5804
random,2026-W22,meme_share,3,0.6017573696145125,0.026921469681179824,0.5833333333333334,0.6326530612244898
random,2026-W22,agent_supply,3,27.0,4.358898943540674,24,32
random,2026-W22,total_supply,3,51.0,4.358898943540674,48,56
random,2026-W22,meme_speaking_rate,3,0.8771929824561404,0.1324532357065044,0.7368421052631579,1.0
random,2026-W22,meme_env_gain,3,1.3049333333333333,0.008119318526411769,1.2999,1.3143
chronological,2026-W12,meme_share,3,0.0,0.0,0.0,0.0
chronological,2026-W12,agent_supply,3,23.666666666666668,0.5773502691896257,23,24
chronological,2026-W12,total_supply,3,40.666666666666664,0.5773502691896257,40,41
chronological,2026-W12,meme_speaking_rate,3,0.0,0.0,0.0,0.0
chronological,2026-W12,meme_env_gain,3,1.0,0.0,1.0,1.0
chronological,2026-W13,meme_share,3,0.0,0.0,0.0,0.0
chronological,2026-W13,agent_supply,3,33.666666666666664,13.279056191361393,26,49
chronological,2026-W13,total_supply,3,68.66666666666667,13.279056191361393,61,84
chronological,2026-W13,meme_speaking_rate,3,0.0,0.0,0.0,0.0
chronological,2026-W13,meme_env_gain,3,0.47426666666666667,0.0014433756729740658,0.4726,0.4751
chronological,2026-W14,meme_share,3,0.017048171071159576,0.001575859854472715,0.015384615384615385,0.018518518518518517
chronological,2026-W14,agent_supply,3,29.0,5.5677643628300215,24,35
chronological,2026-W14,total_supply,3,59.0,5.5677643628300215,54,65
chronological,2026-W14,meme_speaking_rate,3,0.0,0.0,0.0,0.0
chronological,2026-W14,meme_env_gain,3,0.7413333333333334,0.018953979353511313,0.7296,0.7632
chronological,2026-W15,meme_share,3,0.019604653455585132,0.002629960680400116,0.016666666666666666,0.021739130434782608
chronological,2026-W15,agent_supply,3,27.666666666666668,7.371114795831994,22,36
chronological,2026-W15,total_supply,3,51.666666666666664,7.371114795831994,46,60
chronological,2026-W15,meme_speaking_rate,3,0.0,0.0,0.0,0.0
chronological,2026-W15,meme_env_gain,3,1.2632999999999999,0.025571859533479412,1.2449,1.2925
chronological,2026-W16,meme_share,3,0.020792131844763424,0.006704074845599705,0.013333333333333334,0.02631578947368421
chronological,2026-W16,agent_supply,3,30.333333333333332,19.857828011475306,16,53
chronological,2026-W16,total_supply,3,52.333333333333336,19.857828011475306,38,75
chronological,2026-W16,meme_speaking_rate,3,0.0,0.0,0.0,0.0
chronological,2026-W16,meme_env_gain,3,1.6639333333333335,0.01687078342381684,1.6506,1.6829
chronological,2026-W17,meme_share,3,0.0,0.0,0.0,0.0
chronological,2026-W17,agent_supply,3,33.0,14.933184523068078,22,50
chronological,2026-W17,total_supply,3,52.0,14.933184523068078,41,69
chronological,2026-W17,meme_speaking_rate,3,0.0,0.0,0.0,0.0
chronological,2026-W17,meme_env_gain,3,2.3411,0.039824489952791545,2.3104,2.3861
chronological,2026-W18,meme_share,3,0.0,0.0,0.0,0.0
chronological,2026-W18,agent_supply,3,28.333333333333332,9.504384952922168,19,38
chronological,2026-W18,total_supply,3,46.333333333333336,9.504384952922168,37,56
chronological,2026-W18,meme_speaking_rate,3,0.0,0.0,0.0,0.0
chronological,2026-W18,meme_env_gain,3,2.9553,0.03591782287388825,2.9246,2.9948
chronological,2026-W19,meme_share,3,0.026007625272331154,0.004554937005358859,0.020833333333333332,0.029411764705882353
chronological,2026-W19,agent_supply,3,21.333333333333332,7.571877794400365,16,30
chronological,2026-W19,total_supply,3,39.333333333333336,7.571877794400365,34,48
chronological,2026-W19,meme_speaking_rate,3,0.0,0.0,0.0,0.0
chronological,2026-W19,meme_env_gain,3,2.8532666666666664,0.034786827008701594,2.8304,2.8933
chronological,2026-W20,meme_share,3,0.44139214284404843,0.012002216443589328,0.43103448275862066,0.45454545454545453
chronological,2026-W20,agent_supply,3,36.666666666666664,1.5275252316519468,35,38
chronological,2026-W20,total_supply,3,56.666666666666664,1.5275252316519468,55,58
chronological,2026-W20,meme_speaking_rate,3,1.0,0.0,1.0,1.0
chronological,2026-W20,meme_env_gain,3,2.1548,0.014435719587190643,2.1391,2.1675
chronological,2026-W21,meme_share,3,0.6678248613536782,0.09343616264486185,0.5636363636363636,0.7441860465116279
chronological,2026-W21,agent_supply,3,25.0,6.244997998398398,20,32
chronological,2026-W21,total_supply,3,48.0,6.244997998398398,43,55
chronological,2026-W21,meme_speaking_rate,3,0.9824561403508771,0.030386856273138228,0.9473684210526315,1.0
chronological,2026-W21,meme_env_gain,3,1.5656999999999999,0.00793725393319382,1.5567,1.5717
chronological,2026-W22,meme_share,3,0.6561996779388083,0.08783551090382805,0.5555555555555556,0.717391304347826
chronological,2026-W22,agent_supply,3,24.666666666666668,4.618802153517006,22,30
chronological,2026-W22,total_supply,3,48.666666666666664,4.618802153517006,46,54
chronological,2026-W22,meme_speaking_rate,3,0.9298245614035087,0.08039606482378668,0.8421052631578947,1.0
chronological,2026-W22,meme_env_gain,3,1.3068666666666666,0.009279188182881749,1.2999,1.3174
interest,2026-W12,meme_share,3,0.0,0.0,0.0,0.0
interest,2026-W12,agent_supply,3,28.0,3.4641016151377544,26,32
interest,2026-W12,total_supply,3,45.0,3.4641016151377544,43,49
interest,2026-W12,meme_speaking_rate,3,0.0,0.0,0.0,0.0
interest,2026-W12,meme_env_gain,3,1.0,0.0,1.0,1.0
interest,2026-W13,meme_share,3,0.0,0.0,0.0,0.0
interest,2026-W13,agent_supply,3,41.333333333333336,5.686240703077327,35,46
interest,2026-W13,total_supply,3,76.33333333333333,5.686240703077327,70,81
interest,2026-W13,meme_speaking_rate,3,0.0,0.0,0.0,0.0
interest,2026-W13,meme_env_gain,3,0.48480000000000006,0.008140638795573692,0.4801,0.4942
interest,2026-W14,meme_share,3,0.01429908870437196,0.0005308190202146462,0.0136986301369863,0.014705882352941176
interest,2026-W14,agent_supply,3,40.0,2.6457513110645907,38,43
interest,2026-W14,total_supply,3,70.0,2.6457513110645907,68,73
interest,2026-W14,meme_speaking_rate,3,0.0,0.0,0.0,0.0
interest,2026-W14,meme_env_gain,3,0.7585000000000001,0.0032186953878862515,0.7555,0.7619
interest,2026-W15,meme_share,3,0.01778697890659919,0.000982217752595312,0.01694915254237288,0.018867924528301886
interest,2026-W15,agent_supply,3,32.333333333333336,3.0550504633038935,29,35
interest,2026-W15,total_supply,3,56.333333333333336,3.0550504633038935,53,59
interest,2026-W15,meme_speaking_rate,3,0.0,0.0,0.0,0.0
interest,2026-W15,meme_env_gain,3,1.2939999999999998,0.0035679125549822007,1.2901,1.2971
interest,2026-W16,meme_share,3,0.017965367965367966,0.0001874513861005279,0.017857142857142856,0.01818181818181818
interest,2026-W16,agent_supply,3,33.666666666666664,0.5773502691896257,33,34
interest,2026-W16,total_supply,3,55.666666666666664,0.5773502691896257,55,56
interest,2026-W16,meme_speaking_rate,3,0.0,0.0,0.0,0.0
interest,2026-W16,meme_env_gain,3,1.6951666666666665,0.006274020507882764,1.6883,1.7006
interest,2026-W17,meme_share,3,0.0,0.0,0.0,0.0
interest,2026-W17,agent_supply,3,34.0,3.0,31,37
interest,2026-W17,total_supply,3,53.0,3.0,50,56
interest,2026-W17,meme_speaking_rate,3,0.0,0.0,0.0,0.0
interest,2026-W17,meme_env_gain,3,2.3783,0.006878953408768101,2.3707,2.3841
interest,2026-W18,meme_share,3,0.0,0.0,0.0,0.0
interest,2026-W18,agent_supply,3,31.666666666666668,2.0816659994661326,30,34
interest,2026-W18,total_supply,3,49.666666666666664,2.0816659994661326,48,52
interest,2026-W18,meme_speaking_rate,3,0.0,0.0,0.0,0.0
interest,2026-W18,meme_env_gain,3,2.9940333333333338,0.006864643714959485,2.9862,2.999
interest,2026-W19,meme_share,3,0.024021779254337395,0.0008912550261295736,0.023255813953488372,0.025
interest,2026-W19,agent_supply,3,23.666666666666668,1.5275252316519468,22,25
interest,2026-W19,total_supply,3,41.666666666666664,1.5275252316519468,40,43
interest,2026-W19,meme_speaking_rate,3,0.0,0.0,0.0,0.0
interest,2026-W19,meme_env_gain,3,2.8918999999999997,0.012929037087115191,2.8773,2.9019
interest,2026-W20,meme_share,3,0.25911524029901817,0.04785704359812474,0.22448979591836735,0.3137254901960784
interest,2026-W20,agent_supply,3,28.666666666666668,2.516611478423583,26,31
interest,2026-W20,total_supply,3,48.666666666666664,2.516611478423583,46,51
interest,2026-W20,meme_speaking_rate,3,0.3508771929824561,0.15193428136569098,0.2631578947368421,0.5263157894736842
interest,2026-W20,meme_env_gain,3,2.182,0.004503332099679098,2.1768,2.1846
interest,2026-W21,meme_share,3,0.5334632878492528,0.0061899151667504215,0.5263157894736842,0.5370370370370371
interest,2026-W21,agent_supply,3,32.0,1.7320508075688772,31,34
interest,2026-W21,total_supply,3,55.0,1.7320508075688772,54,57
interest,2026-W21,meme_speaking_rate,3,0.8596491228070176,0.030386856273138228,0.8421052631578947,0.8947368421052632
interest,2026-W21,meme_env_gain,3,1.5709,0.005250714237130007,1.5656,1.5761
interest,2026-W22,meme_share,3,0.6025157232704402,0.002178680261092927,0.6,0.6037735849056604
interest,2026-W22,agent_supply,3,29.666666666666668,1.1547005383792515,29,31
interest,2026-W22,total_supply,3,53.666666666666664,1.1547005383792515,53,55
interest,2026-W22,meme_speaking_rate,3,0.9649122807017543,0.030386856273138228,0.9473684210526315,1.0
interest,2026-W22,meme_env_gain,3,1.3128666666666666,0.003165964834506736,1.3099,1.3162
