week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,41,24,17,0,0.0,0.0,0.07317073170731707,0.8780487804878049,0.0,0.04878048780487805
2026-W13,76,59,11394,2.4099,0.1972,0.4751,84,49,35,1,0.0,0.44047619047619047,0.2261904761904762,0.21428571428571427,0.09523809523809523,0.023809523809523808
2026-W14,155,79,8678,3.0392,0.2511,0.7632,65,35,30,0,0.015384615384615385,0.07692307692307693,0.3230769230769231,0.2923076923076923,0.26153846153846155,0.03076923076923077
2026-W15,214,59,5050,3.2654,0.3958,1.2925,46,22,24,0,0.021739130434782608,0.06521739130434782,0.391304347826087,0.3695652173913043,0.10869565217391304,0.043478260869565216
2026-W16,258,44,3756,3.378,0.4982,1.6829,75,53,22,0,0.013333333333333334,0.04,0.2,0.38666666666666666,0.3333333333333333,0.02666666666666667
2026-W17,330,72,2416,3.5063,0.6805,2.3861,46,27,19,0,0.0,0.043478260869565216,0.2391304347826087,0.5869565217391305,0.08695652173913043,0.043478260869565216
2026-W18,358,45,1703,3.544,0.845,2.9948,46,28,18,0,0.0,0.043478260869565216,0.1956521739130435,0.30434782608695654,0.41304347826086957,0.043478260869565216
2026-W19,345,46,1792,3.5272,0.8203,2.8933,34,16,18,0,0.029411764705882353,0.029411764705882353,0.38235294117647056,0.4117647058823529,0.08823529411764706,0.058823529411764705
2026-W20,302,36,2735,3.4626,0.626,2.1675,55,35,20,0,0.45454545454545453,0.01818181818181818,0.09090909090909091,0.36363636363636365,0.01818181818181818,0.05454545454545454
2026-W21,301,58,4252,3.4609,0.4533,1.5687,55,32,23,0,0.5636363636363636,0.03636363636363636,0.03636363636363636,0.32727272727272727,0.01818181818181818,0.01818181818181818
2026-W22,313,56,5338,3.4806,0.3785,1.3174,46,22,24,0,0.6956521739130435,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.021739130434782608,0.021739130434782608
