week,total_exposures,exposure_meme,exposure_mourning,exposure_education,exposure_marketing,exposure_other,exposure_noise,exposure_share_meme,exposure_share_mourning,exposure_share_education,exposure_share_marketing,exposure_share_other,exposure_share_noise
2026-W12,1000,0,0,126,764,0,110,0.0,0.0,0.126,0.764,0.0,0.11
2026-W13,1000,0,646,94,210,30,20,0.0,0.646,0.094,0.21,0.03,0.02
2026-W14,1000,11,287,176,377,97,52,0.011,0.287,0.176,0.377,0.097,0.052
2026-W15,1000,13,321,189,323,120,34,0.013,0.321,0.189,0.323,0.12,0.034
2026-W16,1000,21,111,262,417,149,40,0.021,0.111,0.262,0.417,0.149,0.04
2026-W17,1000,7,61,256,455,162,59,0.007,0.061,0.256,0.455,0.162,0.059
2026-W18,1000,11,58,280,442,151,58,0.011,0.058,0.28,0.442,0.151,0.058
2026-W19,1000,7,48,236,513,146,50,0.007,0.048,0.236,0.513,0.146,0.05
2026-W20,1000,78,33,172,527,131,59,0.078,0.033,0.172,0.527,0.131,0.059
2026-W21,1000,261,29,125,470,63,52,0.261,0.029,0.125,0.47,0.063,0.052
2026-W22,1000,445,40,65,371,45,34,0.445,0.04,0.065,0.371,0.045,0.034
