week,meme_env_stock,meme_env_flow,meme_env_flow_world,abundance_B,emptiness_S,gain_G,total_supply,agent_supply,injected_count,official_posts_count,supply_share_all_meme,supply_share_all_mourning,supply_share_all_education,supply_share_all_marketing,supply_share_all_other,supply_share_all_noise
2026-W12,17,17,1246,1.0,1.0,1.0,49,32,17,0,0.0,0.0,0.22448979591836735,0.7346938775510204,0.0,0.04081632653061224
2026-W13,84,67,11394,2.5069,0.1972,0.4942,70,35,35,1,0.0,0.5285714285714286,0.1,0.22857142857142856,0.11428571428571428,0.02857142857142857
2026-W14,149,65,8678,3.0088,0.2511,0.7555,69,39,30,0,0.014492753623188406,0.2028985507246377,0.2608695652173913,0.37681159420289856,0.11594202898550725,0.028985507246376812
2026-W15,212,63,5050,3.2594,0.3958,1.2901,53,29,24,0,0.018867924528301886,0.05660377358490566,0.2641509433962264,0.4528301886792453,0.16981132075471697,0.03773584905660377
2026-W16,263,51,3756,3.3888,0.4982,1.6883,55,33,22,0,0.01818181818181818,0.05454545454545454,0.2909090909090909,0.4727272727272727,0.12727272727272726,0.03636363636363636
2026-W17,315,52,2416,3.4837,0.6805,2.3707,53,34,19,0,0.0,0.03773584905660377,0.2641509433962264,0.49056603773584906,0.16981132075471697,0.03773584905660377
2026-W18,350,52,1703,3.5338,0.845,2.9862,48,30,18,0,0.0,0.041666666666666664,0.20833333333333334,0.5625,0.14583333333333334,0.041666666666666664
2026-W19,331,48,1792,3.5078,0.8203,2.8773,43,25,18,0,0.023255813953488372,0.023255813953488372,0.18604651162790697,0.5813953488372093,0.13953488372093023,0.046511627906976744
2026-W20,311,45,2735,3.4774,0.626,2.1768,46,26,20,0,0.2391304347826087,0.021739130434782608,0.10869565217391304,0.5,0.06521739130434782,0.06521739130434782
2026-W21,297,49,4252,3.4541,0.4533,1.5656,54,31,23,0,0.5370370370370371,0.037037037037037035,0.05555555555555555,0.3333333333333333,0.018518518518518517,0.018518518518518517
2026-W22,301,55,5338,3.4609,0.3785,1.3099,55,31,24,0,0.6,0.03636363636363636,0.03636363636363636,0.2909090909090909,0.01818181818181818,0.01818181818181818
