week,type,type_cn,count,week_total,share
2026-W12,meme,梗文化讨论,0,1246,0.000000
2026-W12,mourning,事件悼念讨论,0,1246,0.000000
2026-W12,education,教育观点讨论,140,1246,0.112360
2026-W12,marketing,借势营销,970,1246,0.778491
2026-W12,other,其他讨论,23,1246,0.018459
2026-W12,noise,爬取噪音,113,1246,0.090690
2026-W13,meme,梗文化讨论,146,11394,0.012814
2026-W13,mourning,事件悼念讨论,4714,11394,0.413727
2026-W13,education,教育观点讨论,1341,11394,0.117694
2026-W13,marketing,借势营销,2030,11394,0.178164
2026-W13,other,其他讨论,2569,11394,0.225470
2026-W13,noise,爬取噪音,594,11394,0.052133
2026-W14,meme,梗文化讨论,148,8678,0.017055
2026-W14,mourning,事件悼念讨论,1447,8678,0.166743
2026-W14,education,教育观点讨论,1602,8678,0.184605
2026-W14,marketing,借势营销,2451,8678,0.282438
2026-W14,other,其他讨论,2315,8678,0.266767
2026-W14,noise,爬取噪音,715,8678,0.082392
2026-W15,meme,梗文化讨论,143,5050,0.028317
2026-W15,mourning,事件悼念讨论,736,5050,0.145743
2026-W15,education,教育观点讨论,1184,5050,0.234455
2026-W15,marketing,借势营销,1376,5050,0.272475
2026-W15,other,其他讨论,1123,5050,0.222376
2026-W15,noise,爬取噪音,488,5050,0.096634
2026-W16,meme,梗文化讨论,77,3756,0.020501
2026-W16,mourning,事件悼念讨论,496,3756,0.132055
2026-W16,education,教育观点讨论,901,3756,0.239883
2026-W16,marketing,借势营销,1150,3756,0.306177
2026-W16,other,其他讨论,758,3756,0.201810
2026-W16,noise,爬取噪音,374,3756,0.099574
2026-W17,meme,梗文化讨论,52,2416,0.021523
2026-W17,mourning,事件悼念讨论,283,2416,0.117136
2026-W17,education,教育观点讨论,489,2416,0.202401
2026-W17,marketing,借势营销,911,2416,0.377070
2026-W17,other,其他讨论,453,2416,0.187500
2026-W17,noise,爬取噪音,228,2416,0.094371
2026-W18,meme,梗文化讨论,44,1703,0.025837
2026-W18,mourning,事件悼念讨论,158,1703,0.092777
2026-W18,education,教育观点讨论,326,1703,0.191427
2026-W18,marketing,借势营销,655,1703,0.384615
2026-W18,other,其他讨论,379,1703,0.222548
2026-W18,noise,爬取噪音,141,1703,0.082795
2026-W19,meme,梗文化讨论,139,1792,0.077567
2026-W19,mourning,事件悼念讨论,139,1792,0.077567
2026-W19,education,教育观点讨论,367,1792,0.204799
2026-W19,marketing,借势营销,704,1792,0.392857
2026-W19,other,其他讨论,272,1792,0.151786
2026-W19,noise,爬取噪音,171,1792,0.095424
2026-W20,meme,梗文化讨论,816,2735,0.298355
2026-W20,mourning,事件悼念讨论,178,2735,0.065082
2026-W20,education,教育观点讨论,352,2735,0.128702
2026-W20,marketing,借势营销,795,2735,0.290676
2026-W20,other,其他讨论,208,2735,0.076051
2026-W20,noise,爬取噪音,386,2735,0.141133
2026-W21,meme,梗文化讨论,2365,4252,0.556209
2026-W21,mourning,事件悼念讨论,449,4252,0.105597
2026-W21,education,教育观点讨论,339,4252,0.079727
2026-W21,marketing,借势营销,682,4252,0.160395
2026-W21,other,其他讨论,187,4252,0.043979
2026-W21,noise,爬取噪音,230,4252,0.054092
2026-W22,meme,梗文化讨论,3220,5338,0.603222
2026-W22,mourning,事件悼念讨论,372,5338,0.069689
2026-W22,education,教育观点讨论,379,5338,0.071000
2026-W22,marketing,借势营销,902,5338,0.168977
2026-W22,other,其他讨论,235,5338,0.044024
2026-W22,noise,爬取噪音,230,5338,0.043087
