doi	title	authors	year	venue	publisher	crossref	openalex	semantic_scholar	doi_resolution	is_oa	oa_status	oa_pdf	oa_landing	cited_by_count
10.1007/s11023-017-9445-2	The Political Economy of Death in the Age of Information: A Critical Approach to the Digital Afterlife Industry	Carl Öhman; Luciano Floridi	2017	Minds and Machines	Springer Science and Business Media LLC	matched	matched	matched	resolved	True	hybrid	https://link.springer.com/content/pdf/10.1007%2Fs11023-017-9445-2.pdf	https://doi.org/10.1007/s11023-017-9445-2	161
10.5210/fm.v19i6.4998	Death and the Internet: The implications of the digital afterlife	Nicola Wright	2014	First Monday	University of Illinois Libraries	matched	matched	matched	resolved	True	diamond	https://doi.org/10.5210/fm.v19i6.4998	https://doi.org/10.5210/fm.v19i6.4998	38
10.1080/13614568.2014.983562	Socially shared mourning: construction and consumption of collective memory	Anu Harju	2015	New Review of Hypermedia and Multimedia	Informa UK Limited	matched	matched	matched	resolved_restricted	False	closed			68
10.1080/01972243.2013.777311	The Digital Remains: Social Media and Practices of Online Grief	Jessa Lingel	2013	The Information Society	Informa UK Limited	matched	matched	matched	resolved_restricted	True	green	https://repository.upenn.edu/bitstreams/15d5289f-43c7-43db-94dc-f19b966cb10c/download	https://repository.upenn.edu/asc_papers/594	103
10.1177/14614448211035769	Conceptualizing social media sub-platforms: The case of mourning and memorialization practices on Facebook	Sarit Navon; Chaim Noy	2023	New Media &amp; Society	SAGE Publications	matched	matched	matched	resolved_restricted	False	closed			27
10.1177/0270467613516753	Virtual Mourning and Memory Construction on Facebook	Rhonda N. McEwen; Kathleen Scheaffer	2013	Bulletin of Science, Technology &amp; Society	SAGE Publications	matched	matched	matched	resolved_restricted	False	closed			29
10.1080/03906701.2021.1947951	‘#hellobrother needs to trend’: methodological reflections on the digital and emotional afterlife of mediated violence	Anu A. Harju; Jukka Huhtamäki	2021	International Review of Sociology	Informa UK Limited	matched	matched	matched	resolved_restricted	True	hybrid	https://www.tandfonline.com/doi/pdf/10.1080/03906701.2021.1947951?needAccess=true	https://doi.org/10.1080/03906701.2021.1947951	18
10.1007/978-3-030-11485-5_9	Digital Mourning Labor: Corporate Use of Dead Celebrities on Social Media	Magdalena Kania-Lundholm	2019	Death Matters	Springer International Publishing	matched	matched	matched	resolved	False	closed			5
10.1515/9783110431575-015	Digital Afterlife: Ex-Yugoslav Pop Culture Icons and Social Media	Martin Pogačar	2016	Post-Yugoslav Constellations	De Gruyter	matched	matched	matched	resolved	False	closed			4
10.1177/00302228251319834	From Mourning to Healing: Continuing Bonds With Strangers in Chinese Social Media	Anqi Hu; Hong Jiang	2025	OMEGA - Journal of Death and Dying	SAGE Publications	matched	matched	matched	resolved_restricted	True	bronze	https://journals.sagepub.com/doi/pdf/10.1177/00302228251319834?download=true	https://doi.org/10.1177/00302228251319834	3
10.1177/13678779231213990	#MournHub and @GrieveWatch: Mediating monarchy and mourning in the digital age	Laura Clancy	2024	International Journal of Cultural Studies	SAGE Publications	matched	matched	matched	resolved_restricted	True	hybrid	https://doi.org/10.1177/13678779231213990	https://doi.org/10.1177/13678779231213990	5
10.1080/08838151.2012.705197	“There Isn't Wifi in Heaven!” Negotiating Visibility on Facebook Memorial Pages	Alice Marwick; Nicole B. Ellison	2012	Journal of Broadcasting &amp; Electronic Media	Informa UK Limited	matched	matched	matched	resolved_restricted	True	bronze	https://www.tandfonline.com/doi/pdf/10.1080/08838151.2012.705197?download=true	https://doi.org/10.1080/08838151.2012.705197	193
