ID	概念簇	DOI	年份	中文译名	英文原题	开放全文线索	计划状态
A01	数字死亡	10.1007/s11023-017-9445-2	2017	信息时代死亡的政治经济学：对数字来生产业的批判性研究	The Political Economy of Death in the Age of Information: A Critical Approach to the Digital Afterlife Industry	https://link.springer.com/content/pdf/10.1007%2Fs11023-017-9445-2.pdf	已取得并验证正文
A02	数字死亡	10.5210/fm.v19i6.4998	2014	死亡与互联网：数字来生的含义	Death and the Internet: The implications of the digital afterlife	https://doi.org/10.5210/fm.v19i6.4998	待下载
A03	数哀悼	10.1080/01972243.2013.777311	2013	数字遗存：社交媒体与网络悲伤实践	The Digital Remains: Social Media and Practices of Online Grief	https://repository.upenn.edu/bitstreams/15d5289f-43c7-43db-94dc-f19b966cb10c/download	待下载
A04	媒介死后生命	10.1080/03906701.2021.1947951	2021	“让#hellobrother上热搜”：媒介化暴力的数字与情感来生的方法反思	‘#hellobrother needs to trend’: methodological reflections on the digital and emotional afterlife of mediated violence	https://www.tandfonline.com/doi/pdf/10.1080/03906701.2021.1947951?needAccess=true	待下载
A05	中国数字哀悼	10.1177/00302228251319834	2025	从哀悼到疗愈：中国社交媒体中与陌生人的持续性连结	From Mourning to Healing: Continuing Bonds With Strangers in Chinese Social Media	https://journals.sagepub.com/doi/pdf/10.1177/00302228251319834?download=true	待下载
A06	公众人物哀悼	10.1177/13678779231213990	2024	#MournHub与@GrieveWatch：数字时代君主制与哀悼的媒介化	#MournHub and @GrieveWatch: Mediating monarchy and mourning in the digital age	https://eprints.lancs.ac.uk/id/eprint/208744/1/_MournHub_and_GrieveWatch_FINAL_version.pdf	待下载
A07	数字纪念	10.1080/08838151.2012.705197	2012	“天堂没有WiFi！”：Facebook纪念页上的可见性协商	“There Isn't Wifi in Heaven!” Negotiating Visibility on Facebook Memorial Pages	https://www.tandfonline.com/doi/pdf/10.1080/08838151.2012.705197?download=true	待下载
A08	明星哀悼	10.1080/0048721X.2011.553138	2011	天使而非灵魂：英国名人杰德·古迪网络哀悼中的大众宗教	Angels not souls: popular religion in the online mourning for British celebrity Jade Goody	https://purehost.bath.ac.uk/ws/files/249752/Walter_Religion_2011_41_1_29.pdf	待下载
A09	明星哀悼	10.1371/journal.pone.0336134	2025	情绪的网络传播：名人自杀后社交媒体转发动力研究	Online propagation of emotions: A study of resharing dynamics on social media following celebrity suicides	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0336134&type=printable	待下载
A10	平台化记忆	10.1177/14614448221096768	2024	何时才是记忆的合适时机？社交媒体回忆、时间性与恰当时机	When is the right time to remember? Social media memories, temporality and the kairologic	https://eprints.whiterose.ac.uk/id/eprint/204020/1/jacobsen_2022_when_is_the_right_time_to_remember_social_media_memories_temporality_and_the_kairologic.pdf	待下载
A11	算法记忆	10.1017/mem.2024.8	2024	算法生成的记忆：通过感知挹取实现自动纪念	Algorithmically generated memories: automated remembrance through appropriated perception	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/99142EF526EEF3FEBE6ACF9CC91B7502/S2635023824000080a.pdf/div-class-title-algorithmically-generated-memories-automated-remembrance-through-appropriated-perception-div.pdf	待下载
A12	社会记忆	10.1017/mem.2024.18	2024	社会记忆如何在社交媒体上运作：一个方法论框架	How social memory works on social media: A methodological framework	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/57CC8FE3831C79B935FD63C6FC25DD44/S2635023824000183a.pdf/div-class-title-how-social-memory-works-on-social-media-a-methodological-framework-div.pdf	待下载
B01	推荐多样性	10.1080/1369118X.2018.1444076	2018	不要把责任归给算法：多个推荐系统及其对内容多样性影响的实证评估	Do not blame it on the algorithm: an empirical assessment of multiple recommender systems and their impact on content diversity	https://pure.uva.nl/ws/files/23265204/Do_not_blame_it_on_the_algorithm.pdf	待下载
B02	YouTube推荐审计	10.17645/mac.v9i4.4184	2021	“接下来播什么？”：跨议题、跨时间调查YouTube算法推荐	What’s “Up Next”? Investigating Algorithmic Recommendations on YouTube Across Issues and Over Time	https://eprints.qut.edu.au/226319/1/MaC_9_4_What_s_Up_Next_Investigating_Algorithmic_Recommendations_on_YouTube_Across_Issues_and_Over_Time.pdf	待下载
B03	推荐漂移	10.1007/s13278-024-01343-5	2024	偏差之下：分析YouTube算法推荐中的漂移	The bias beneath: analyzing drift in YouTube’s algorithmic recommendations	https://link.springer.com/content/pdf/10.1007/s13278-024-01343-5.pdf	已取得并验证正文
B04	可见性劳动	10.1177/1461444819854731	2019	通过算法传闻管理YouTube可见性	Managing visibility on YouTube through algorithmic gossip	https://kclpure.kcl.ac.uk/ws/files/139130145/Managing_visibility_on_YouTube_BISHOP_Acc14_May2019Epub15Jun2019_GREEN_AAM.pdf	待下载
B05	Twitter推荐审计	10.1038/s41598-023-43980-4	2023	Twitter推荐系统的众包审计	Crowdsourced audit of Twitter’s recommender systems	https://www.nature.com/articles/s41598-023-43980-4.pdf	待下载
B06	选择性曝光	10.1093/joc/jqac047	2023	建模新闻推荐系统对选择性曝光的条件效应：两项在线实验的证据	Modeling news recommender systems’ conditional effects on selective exposure: evidence from two online experiments	https://academic.oup.com/joc/advance-article-pdf/doi/10.1093/joc/jqac047/48410183/jqac047.pdf	待下载
B07	人机纠缠	10.1177/17456916231180809	2024	理解在线信息消费中人与算法纠缠的挑战	Challenges in Understanding Human-Algorithm Entanglement During Online Information Consumption	https://europepmc.org/articles/PMC11373152?pdf=render	待下载
B08	算法与社会动因	10.1177/17456916231185057	2024	数字媒体中的社会驱动因素与算法机制	Social Drivers and Algorithmic Mechanisms on Digital Media	https://europepmc.org/articles/PMC11373151?pdf=render	待下载
B09	审计方法	10.1145/3531146.3533213	2022	谁来审计审计者？算法审计生态系统实地扫描的建议	Who Audits the Auditors? Recommendations from a field scan of the algorithmic auditing ecosystem	https://arxiv.org/pdf/2310.02521	待下载
B10	日常算法审计	10.1145/3479577	2021	日常算法审计：理解普通用户揭示有害算法行为的力量	Everyday Algorithm Auditing: Understanding the Power of Everyday Users in Surfacing Harmful Algorithmic Behaviors	https://arxiv.org/pdf/2105.02980	待下载
B11	用户驱动审计	10.1145/3491102.3517441	2022	走向用户驱动的算法审计：调查用户发现有害算法行为的策略	Toward User-Driven Algorithm Auditing: Investigating users’ strategies for uncovering harmful algorithmic behavior	https://dl.acm.org/doi/pdf/10.1145/3491102.3517441	待下载
B12	TikTok个性化	10.1145/3485447.3512102	2022	TikTok个性化因素的实证调查	An Empirical Investigation of Personalization Factors on TikTok	https://arxiv.org/pdf/2201.12271	待下载
B13	TikTok个性化	10.1145/3589334.3645600	2024	TikTok个性化艺术：调查社交媒体信息流中的探索与利用	TikTok and the Art of Personalization: Investigating Exploration and Exploitation on Social Media Feeds	https://repository.tudelft.nl/file/File_67e21b92-6996-4983-8b23-b17ec21e7d31	待下载
B14	TikTok推荐解释	10.1609/icwsm.v18i1.31376	2024	审计社交媒体信息流的算法解释：TikTok视频解释案例研究	Auditing Algorithmic Explanations of Social Media Feeds: A Case Study of TikTok Video Explanations	https://ojs.aaai.org/index.php/ICWSM/article/download/31376/33536	待下载
B15	TikTok算法想象	10.1145/3447535.3462512	2021	讨好算法：关于用户对TikTok算法假设的混合方法研究	Trick and Please. A Mixed-Method Study On User Assumptions About the TikTok Algorithm	https://dl.acm.org/doi/pdf/10.1145/3447535.3462512	待下载
B16	影响力协商	10.1177/1461444818815684	2019	参与可见性游戏：数字网红与算法如何协商影响力	Playing the visibility game: How digital influencers and algorithms negotiate influence on Instagram		开放线索错配，待定向补检
B17	TikTok网红	10.5334/csci.140	2020	映射TikTok网红：注意力经济与可见性劳动	Mapping Internet Celebrity on TikTok: Exploring Attention Economies and Visibility Labours	https://www.sciendo.com/pdf/10.5334/csci.140	待下载
B18	短视频回声室	10.1038/s41598-023-33370-1	2023	短视频平台的回声室效应	Echo chamber effects on short video platforms	https://www.nature.com/articles/s41598-023-33370-1.pdf	待下载
B19	算法放大	10.1073/pnas.2025334119	2022	Twitter上的政治内容算法放大	Algorithmic Amplification of Politics on Twitter	https://pmc.ncbi.nlm.nih.gov/articles/PMC8740571/	已取得期刊正文HTML（--no-si）
B20	YouTube路径审计	10.1145/3351095.3372879	2020	审计YouTube上的激进化路径	Auditing radicalization pathways on YouTube	https://arxiv.org/pdf/1908.08313	待下载
C01	再语境化	10.1057/9781137029317_6	2014	社交媒体中作为身份认同资源的语篇化与符号再语境化	Entextualization and resemiotization as resources for identification in social media	http://urn.fi/URN:NBN:fi:jyu-201501151116	待下载
C02	证据拼贴	10.1080/10584609.2019.1686094	2020	设计出的虚假信息：媒体操纵运动中证据拼贴与平台过滤的使用	Disinformation by Design: The Use of Evidence Collages and Platform Filtering in a Media Manipulation Campaign	https://www.tandfonline.com/doi/pdf/10.1080/10584609.2019.1686094?needAccess=true	待下载
C03	多模态误导	10.1080/10584609.2019.1674979	2020	一图能写千个谎言？社交媒体多模态虚假信息及其反驳的效果与机制	A Picture Paints a Thousand Lies? The Effects and Mechanisms of Multimodal Disinformation and Rebuttals Disseminated via Social Media	https://pure.uva.nl/ws/files/59795344/10584609.2019.pdf	待下载
C04	视觉误导	10.1177/10776990211035395	2021	视觉错误与虚假信息、社交媒体与民主	Visual Mis- and Disinformation, Social Media, and Democracy	https://pure.uva.nl/ws/files/63476354/10776990211035395.pdf	待下载
C05	迷因分类	10.1177/2056305116672884	2016	社会性与分类：幽默迷因中的性别、种族与阶级解读	Sociality and Classification: Reading Gender, Race, and Class in a Humorous Meme	https://researchmgt.monash.edu/ws/files/229109140/226858822.pdf	待下载
D01	社交媒体首印象	10.3389/fpsyg.2021.656365	2021	基于社交媒体资料中不同价性自我披露的首印象形成	First Impression Formation Based on Valenced Self-Disclosure in Social Media Profiles	https://www.frontiersin.org/articles/10.3389/fpsyg.2021.656365/pdf	待下载
D02	错觉真理	10.1037/xge0000098	2015	知识并不能防止错觉真理效应	Knowledge does not protect against illusory truth	https://doi.org/10.1037/xge0000098	待定向补检
D03	重复曝光	10.1037/xge0000465	2018	先前曝光会提高对假新闻准确性的感知	Prior exposure increases perceived accuracy of fake news	https://pmc.ncbi.nlm.nih.gov/articles/PMC6279465	待下载
D04	重复频率	10.1186/s41235-021-00301-5	2021	重复频率对错觉真理效应的影响	The effects of repetition frequency on the illusory truth effect	https://europepmc.org/articles/PMC8116821?pdf=render	待下载
D05	重复曝光	10.1186/s41235-020-00251-4	2020	对陈述和模拟社交媒体帖文真实性的感知：来源可信度、重复曝光与呈现形式的实验研究	Perceived truth of statements and simulated social media postings: an experimental investigation of source credibility, repeated exposure, and presentation format	https://europepmc.org/articles/PMC7656226?pdf=render	待下载
D06	错觉真理与分享	10.1016/j.cognition.2023.105421	2023	错觉真理效应会导致错误信息的传播	The illusory truth effect leads to the spread of misinformation	https://europepmc.org/articles/PMC10636596?pdf=render	待下载
