ID	DOI	中文译名	英文原题	源URL	状态	格式	字节数	页数	题名匹配率	SHA256	本地文件	说明
A01	10.1007/s11023-017-9445-2	信息时代死亡的政治经济学：对数字来生产业的批判性研究	The Political Economy of Death in the Age of Information: A Critical Approach to the Digital Afterlife Industry	http://link.springer.com/content/pdf/10.1007/s11023-017-9445-2.pdf	verified_downloaded	PDF	1131086	24	1.00	b0e63e8d73fe14b7904fd5401975fc5906a007daf8cbebdb89e674539097e783	文献全文/正文/A01_2017_信息时代死亡的政治经济学：对数字来生产业的批判性研究__The Political Economy of Death in the Age of Information A Critical Approach to the Digital Afterlife Ind….pdf	开放获取出版版正文；题名与PDF文本匹配；未下载补充材料
A02	10.5210/fm.v19i6.4998	死亡与互联网：数字来生的含义	Death and the Internet: The implications of the digital afterlife	https://doi.org/10.5210/fm.v19i6.4998	downloaded_needs_review		4997			3bf39b3efafa259c91d3a1bc7e5cee1e3eac4530bc5f8261df01ab8cf36f74e3	文献全文/需人工复核/A02_2014_死亡与互联网：数字来生的含义__Death and the Internet The implications of the digital afterlife.bin	返回内容既非PDF也非HTML
A03	10.1080/01972243.2013.777311	数字遗存：社交媒体与网络悲伤实践	The Digital Remains: Social Media and Practices of Online Grief	https://repository.upenn.edu/bitstreams/15d5289f-43c7-43db-94dc-f19b966cb10c/download	verified_downloaded	PDF	113384	20	1.00	20ca76c8dab2bf161dc769fd72fc5a9babe1e1b5117edd862ca84e676d2c5369	文献全文/正文/A03_2013_数字遗存：社交媒体与网络悲伤实践__The Digital Remains Social Media and Practices of Online Grief.pdf	题名与PDF文本匹配
A04	10.1080/03906701.2021.1947951	“让#hellobrother上热搜”：媒介化暴力的数字与情感来生的方法反思	‘#hellobrother needs to trend’: methodological reflections on the digital and emotional afterlife of mediated violence	https://www.tandfonline.com/doi/pdf/10.1080/03906701.2021.1947951?needAccess=true	download_failed							curl: (56) The requested URL returned error: 403
A05	10.1177/00302228251319834	从哀悼到疗愈：中国社交媒体中与陌生人的持续性连结	From Mourning to Healing: Continuing Bonds With Strangers in Chinese Social Media	https://journals.sagepub.com/doi/pdf/10.1177/00302228251319834?download=true	download_failed							curl: (56) The requested URL returned error: 403
A06	10.1177/13678779231213990	#MournHub与@GrieveWatch：数字时代君主制与哀悼的媒介化	#MournHub and @GrieveWatch: Mediating monarchy and mourning in the digital age	https://eprints.lancs.ac.uk/id/eprint/208744/1/_MournHub_and_GrieveWatch_FINAL_version.pdf	verified_downloaded	PDF	558694	20	1.00	2ef01669106717ef0c90fc321bcdd6110513631d3367cee2d63499d9fdf71ace	文献全文/正文/A06_2024_#MournHub与@GrieveWatch：数字时代君主制与哀悼的媒介化__#MournHub and @GrieveWatch Mediating monarchy and mourning in the digital age.pdf	题名与PDF文本匹配
A07	10.1080/08838151.2012.705197	“天堂没有WiFi！”：Facebook纪念页上的可见性协商	“There Isn't Wifi in Heaven!” Negotiating Visibility on Facebook Memorial Pages	https://www.tandfonline.com/doi/pdf/10.1080/08838151.2012.705197?download=true	download_failed							curl: (56) The requested URL returned error: 403
A08	10.1080/0048721X.2011.553138	天使而非灵魂：英国名人杰德·古迪网络哀悼中的大众宗教	Angels not souls: popular religion in the online mourning for British celebrity Jade Goody	https://purehost.bath.ac.uk/ws/files/249752/Walter_Religion_2011_41_1_29.pdf	verified_downloaded	PDF	197411	23	1.00	37b911286798a2de6e3d4024131b709fc98cc2af331fe14a8fe48b63ba223fb6	文献全文/正文/A08_2011_天使而非灵魂：英国名人杰德·古迪网络哀悼中的大众宗教__Angels not souls popular religion in the online mourning for British celebrity Jade Goody.pdf	题名与PDF文本匹配
A09	10.1371/journal.pone.0336134	情绪的网络传播：名人自杀后社交媒体转发动力研究	Online propagation of emotions: A study of resharing dynamics on social media following celebrity suicides	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0336134&type=printable	verified_downloaded	PDF	1215836	27	1.00	5b51548bdbba5c7a740f7bb4f10800b3b724ba2a0926748c17a06c10e8241d3d	文献全文/正文/A09_2025_情绪的网络传播：名人自杀后社交媒体转发动力研究__Online propagation of emotions A study of resharing dynamics on social media following celebrity suicides.pdf	题名与PDF文本匹配
A10	10.1177/14614448221096768	何时才是记忆的合适时机？社交媒体回忆、时间性与恰当时机	When is the right time to remember? Social media memories, temporality and the kairologic	https://eprints.whiterose.ac.uk/id/eprint/204020/1/jacobsen_2022_when_is_the_right_time_to_remember_social_media_memories_temporality_and_the_kairologic.pdf	verified_downloaded	PDF	277900	18	1.00	c18c6f9db0f04870212d868b4cdacb0db73a1f0970e8a4db4676d52c3f0d2175	文献全文/正文/A10_2024_何时才是记忆的合适时机？社交媒体回忆、时间性与恰当时机__When is the right time to remember Social media memories, temporality and the kairologic.pdf	题名与PDF文本匹配
A11	10.1017/mem.2024.8	算法生成的记忆：通过感知挹取实现自动纪念	Algorithmically generated memories: automated remembrance through appropriated perception	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/99142EF526EEF3FEBE6ACF9CC91B7502/S2635023824000080a.pdf/div-class-title-algorithmically-generated-memories-automated-remembrance-through-appropriated-perception-div.pdf	verified_downloaded	PDF	151869	15	1.00	09af2ee5cd089a94e0df2aef5d22c1288405c072fcced233b762cfc83718f952	文献全文/正文/A11_2024_算法生成的记忆：通过感知挹取实现自动纪念__Algorithmically generated memories automated remembrance through appropriated perception.pdf	题名与PDF文本匹配
A12	10.1017/mem.2024.18	社会记忆如何在社交媒体上运作：一个方法论框架	How social memory works on social media: A methodological framework	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/57CC8FE3831C79B935FD63C6FC25DD44/S2635023824000183a.pdf/div-class-title-how-social-memory-works-on-social-media-a-methodological-framework-div.pdf	verified_downloaded	PDF	755466	23	1.00	948321322449b196f6d8866b5a88daf1ce57dbb61d2bfa73b7a5baf56e456bfb	文献全文/正文/A12_2024_社会记忆如何在社交媒体上运作：一个方法论框架__How social memory works on social media A methodological framework.pdf	题名与PDF文本匹配
B01	10.1080/1369118X.2018.1444076	不要把责任归给算法：多个推荐系统及其对内容多样性影响的实证评估	Do not blame it on the algorithm: an empirical assessment of multiple recommender systems and their impact on content diversity	https://pure.uva.nl/ws/files/23265204/Do_not_blame_it_on_the_algorithm.pdf	verified_downloaded	PDF	1917017	19	1.00	93f28da91f9b0e2ea2b7db8ba0b1d8cfe4ab3dce49facef0608090e47899434d	文献全文/正文/B01_2018_不要把责任归给算法：多个推荐系统及其对内容多样性影响的实证评…__Do not blame it on the algorithm an empirical assessment of multiple recommender systems and their impact….pdf	题名与PDF文本匹配
B02	10.17645/mac.v9i4.4184	“接下来播什么？”：跨议题、跨时间调查YouTube算法推荐	What’s “Up Next”? Investigating Algorithmic Recommendations on YouTube Across Issues and Over Time	https://eprints.qut.edu.au/226319/1/MaC_9_4_What_s_Up_Next_Investigating_Algorithmic_Recommendations_on_YouTube_Across_Issues_and_Over_Time.pdf	verified_downloaded	PDF	2694523	17	1.00	afdc22d21f6c9ce57db0cb40321bea2ed721aa9865c17624c9e0396b8284d77e	文献全文/正文/B02_2021_“接下来播什么？”：跨议题、跨时间调查YouTube算法推荐__What’s “Up Next” Investigating Algorithmic Recommendations on YouTube Across Issues and Over Time.pdf	题名与PDF文本匹配
B03	10.1007/s13278-024-01343-5	偏差之下：分析YouTube算法推荐中的漂移	The bias beneath: analyzing drift in YouTube’s algorithmic recommendations	https://link.springer.com/content/pdf/10.1007/s13278-024-01343-5.pdf	verified_downloaded	PDF	6729800	42	1.00	77335e41e5779dff0338371ec4ea3eb5f4cb6c934f582bb0eb8d0741b7f9638f	文献全文/正文/B03_2024_偏差之下：分析YouTube算法推荐中的漂移__The bias beneath analyzing drift in YouTube’s algorithmic recommendations.pdf	开放获取出版版正文；题名与PDF文本匹配；未下载补充材料
