ID	DOI	文本文件	页数	字符数
A01	10.1007/s11023-017-9445-2	文献全文/提取文本/A01_The_Political_Economy_of_Death_in_the_Age_of_Information_A_Critical_Approach_to_.txt	24	69772
A03	10.1080/01972243.2013.777311	文献全文/提取文本/A03_The_Digital_Remains_Social_Media_and_Practices_of_Online_Grief.txt	20	48391
A06	10.1177/13678779231213990	文献全文/提取文本/A06__MournHub_and_GrieveWatch_Mediating_monarchy_and_mourning_in_the_digital_age.txt	20	53785
A08	10.1080/0048721X.2011.553138	文献全文/提取文本/A08_Angels_not_souls_popular_religion_in_the_online_mourning_for_British_celebrity_J.txt	23	81781
A09	10.1371/journal.pone.0336134	文献全文/提取文本/A09_Online_propagation_of_emotions_A_study_of_resharing_dynamics_on_social_media_fol.txt	27	116583
A10	10.1177/14614448221096768	文献全文/提取文本/A10_When_is_the_right_time_to_remember_Social_media_memories_temporality_and_the_kai.txt	18	60222
A11	10.1017/mem.2024.8	文献全文/提取文本/A11_Algorithmically_generated_memories_automated_remembrance_through_appropriated_pe.txt	15	63920
A12	10.1017/mem.2024.18	文献全文/提取文本/A12_How_social_memory_works_on_social_media_A_methodological_framework.txt	23	76136
B01	10.1080/1369118X.2018.1444076	文献全文/提取文本/B01_Do_not_blame_it_on_the_algorithm_an_empirical_assessment_of_multiple_recommender.txt	19	53266
B02	10.17645/mac.v9i4.4184	文献全文/提取文本/B02_What_s_Up_Next_Investigating_Algorithmic_Recommendations_on_YouTube_Across_Issue.txt	17	72113
B03	10.1007/s13278-024-01343-5	文献全文/提取文本/B03_The_bias_beneath_analyzing_drift_in_YouTube_s_algorithmic_recommendations.txt	42	147122
B04	10.1177/1461444819854731	文献全文/提取文本/B04_Managing_visibility_on_YouTube_through_algorithmic_gossip.txt	18	62761
B05	10.1038/s41598-023-43980-4	文献全文/提取文本/B05_Crowdsourced_audit_of_Twitter_s_recommender_systems.txt	8	39639
B07	10.1177/17456916231180809	文献全文/提取文本/B07_Challenges_in_Understanding_Human-Algorithm_Entanglement_During_Online_Informati.txt	9	48658
B08	10.1177/17456916231185057	文献全文/提取文本/B08_Social_Drivers_and_Algorithmic_Mechanisms_on_Digital_Media.txt	14	75995
B09	10.1145/3531146.3533213	文献全文/提取文本/B09_Who_Audits_the_Auditors_Recommendations_from_a_field_scan_of_the_algorithmic_aud.txt	20	82706
B10	10.1145/3479577	文献全文/提取文本/B10_Everyday_Algorithm_Auditing_Understanding_the_Power_of_Everyday_Users_in_Surfaci.txt	29	123920
B12	10.1145/3485447.3512102	文献全文/提取文本/B12_An_Empirical_Investigation_of_Personalization_Factors_on_TikTok.txt	12	66240
B13	10.1145/3589334.3645600	文献全文/提取文本/B13_TikTok_and_the_Art_of_Personalization_Investigating_Exploration_and_Exploitation.txt	10	56686
B14	10.1609/icwsm.v18i1.31376	文献全文/提取文本/B14_Auditing_Algorithmic_Explanations_of_Social_Media_Feeds_A_Case_Study_of_TikTok_V.txt	13	71710
B17	10.5334/csci.140	文献全文/提取文本/B17_Mapping_Internet_Celebrity_on_TikTok_Exploring_Attention_Economies_and_Visibilit.txt	27	110189
B18	10.1038/s41598-023-33370-1	文献全文/提取文本/B18_Echo_chamber_effects_on_short_video_platforms.txt	17	70974
B19	10.1073/pnas.2025334119	文献全文/提取文本/B19_Algorithmic_Amplification_of_Politics_on_Twitter.txt	1	40246
B20	10.1145/3351095.3372879	文献全文/提取文本/B20_Auditing_radicalization_pathways_on_YouTube.txt	19	80886
C03	10.1080/10584609.2019.1674979	文献全文/提取文本/C03_A_Picture_Paints_a_Thousand_Lies_The_Effects_and_Mechanisms_of_Multimodal_Disinf.txt	22	72479
C04	10.1177/10776990211035395	文献全文/提取文本/C04_Visual_Mis-_and_Disinformation_Social_Media_and_Democracy.txt	24	75642
C05	10.1177/2056305116672884	文献全文/提取文本/C05_Sociality_and_Classification_Reading_Gender_Race_and_Class_in_a_Humorous_Meme.txt	12	60591
D01	10.3389/fpsyg.2021.656365	文献全文/提取文本/D01_First_Impression_Formation_Based_on_Valenced_Self-Disclosure_in_Social_Media_Pro.txt	11	60342
D03	10.1037/xge0000465	文献全文/提取文本/D03_Prior_exposure_increases_perceived_accuracy_of_fake_news.txt	1	95278
D04	10.1186/s41235-021-00301-5	文献全文/提取文本/D04_The_effects_of_repetition_frequency_on_the_illusory_truth_effect.txt	12	68893
D05	10.1186/s41235-020-00251-4	文献全文/提取文本/D05_Perceived_truth_of_statements_and_simulated_social_media_postings_an_experimenta.txt	16	86167
D06	10.1016/j.cognition.2023.105421	文献全文/提取文本/D06_The_illusory_truth_effect_leads_to_the_spread_of_misinformation.txt	7	41132
